sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
65,"Southern Utah Thunderbirds",33,23.1,39.3,27.2,1.174,23.1,13.1,10,56.6,56.6,0.05,5.2,56.6,23.1,13.1,10,56.6,0,0,0,,0
66,"South Carolina Gamecocks",37,35.1,53.2,41.1,1.173,35.1,19.9,15.1,56.8,56.8,0.06,5.8,56.8,35.1,19.9,15.1,56.8,0,0,0,,0
67,"Tennessee State Tigers",28,23.7,40.1,27.8,1.172,23.7,13.5,10.2,56.9,56.9,0.06,6,56.9,23.7,13.5,10.2,56.9,0,0,0,,0
68,"Georgia Lady Bulldogs",34,20.8,35.2,24.3,1.171,20.8,11.8,9,56.7,56.7,0.05,5.4,56.7,20.8,11.8,9,56.7,0,0,0,,0
69,"Georgia Southern Eagles",30,26.8,40,31.4,1.17,26.8,15.1,11.7,56.3,56.3,0.06,6.1,56.3,26.8,15.1,11.7,56.3,0,0,0,,0
69,"DePaul Blue Demons",33,24.3,35.5,28.4,1.17,24.3,13.7,10.6,56.3,56.3,0.06,6.1,56.3,24.3,13.7,10.6,56.3,0,0,0,,0
71,"Wisconsin-(Milwaukee) Panthers",30,19.8,36.1,23.1,1.168,19.8,11.3,8.5,57.1,57.1,0.05,5.2,57.1,19.8,11.3,8.5,57.1,0,0,0,,0
72,"Tulsa Golden Hurricane",30,19.9,33.3,23.2,1.166,19.9,11.1,8.8,55.9,55.9,0.06,6.4,55.9,19.9,11.1,8.8,55.9,0,0,0,,0
73,"Massachusetts Minutewomen",34,28.2,42.8,32.9,1.165,28.2,16,12.3,56.6,56.6,0.04,4.4,56.6,28.2,16,12.3,56.6,0,0,0,,0
74,"North Carolina Tar Heels",33,21.5,35,25.1,1.163,21.5,12.2,9.4,56.5,56.5,0.06,5.6,56.5,21.5,12.2,9.4,56.5,0,0,0,,0
74,"Missouri Tigers",32,21.7,39.4,25.2,1.163,21.7,12.2,9.5,56.3,56.3,0.06,5.6,56.3,21.7,12.2,9.5,56.3,0,0,0,,0
