sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
346,"Central Arkansas Bears",26,76.7,100,51.2,0.667,53.9,19.5,34.5,36.1,38.6,20.9,10.5,0.28,8.3,32.7,42.3,16.8,25.5,39.7,11.6,2.7,9,22.8,0.22
346,"Coppin State Eagles",30,82.5,100,55,0.667,58.5,18.8,39.7,32.2,37.4,19.5,11.2,0.3,8.7,31.5,34.3,12.8,21.5,37.3,24.2,6,18.2,24.9,0.41
348,"Cal State Bakersfield Roadrunners",31,77.4,100,51.5,0.666,54,18.6,35.4,34.4,39,21.7,9.9,0.26,7.8,31.5,35.5,13.7,21.7,38.8,18.6,4.9,13.7,26.2,0.34
348,"North Carolina-Wilmington Seahawks",30,78.9,100,52.6,0.666,53.4,19.6,33.8,36.6,39.3,24.2,9.5,0.26,7.3,32.4,42.3,16.7,25.5,39.6,11.1,2.8,8.3,25.4,0.21
348,"Dartmouth Big Green",28,80.4,100,53.5,0.666,56.2,19.4,36.9,34.4,40,22.8,9,0.23,8.1,30.7,36,13.1,22.8,36.5,20.3,6.2,14,30.7,0.36
351,"Navy Midshipmen",30,78.6,100,52.2,0.663,57.5,20.6,36.9,35.8,40.5,21.7,6.7,0.17,5.4,30.5,38.1,15.2,22.9,39.9,19.3,5.4,14,27.8,0.34
351,"Chicago State Cougars",24,88.4,100,58.6,0.663,60.4,21.3,39,35.3,38.7,22.6,10.4,0.29,8.6,32.4,46.1,17.3,28.8,37.4,14.3,4.1,10.2,28.6,0.24
353,"Texas Southern Tigers",28,90.2,100,59.5,0.66,60.6,20.3,40.4,33.4,37.5,22.4,12.2,0.34,9.9,31.5,39.3,15.2,24,38.8,21.4,5,16.4,23.5,0.35
354,"USC Upstate Spartans",31,78.6,100,51.8,0.659,51.1,18.6,32.4,36.5,40.7,26.5,10.4,0.29,8.1,31.3,35.2,14.4,20.8,41,15.9,4.2,11.6,26.6,0.31
354,"UC Riverside Highlanders",32,77.4,100,51,0.659,56.4,18.4,37.9,32.7,36.4,19.1,9.6,0.24,7.5,31.1,39.1,14.3,24.8,36.6,17.3,4.1,13.1,23.9,0.31
356,"Mississippi Valley State Delta Devils",27,86.2,100,55.2,0.64,58.8,20.1,38.7,34.2,38.5,22.9,10.5,0.29,8.8,30.5,41.4,15.1,26.3,36.4,17.4,5,12.4,28.9,0.3
357,"Delaware State Hornets",26,76.3,100,48.6,0.637,51.9,17.3,34.5,33.4,37.4,22.6,10.5,0.29,8.6,30.8,36.7,13.2,23.5,36,15.2,4.1,11,27.2,0.29
358,"Saint Francis (PA) Red Flash",29,81.1,100,51.5,0.635,54,19.1,34.9,35.4,38.8,24.7,9.9,0.28,7.9,31.3,39.2,15.5,23.7,39.5,14.8,3.6,11.2,24.5,0.27
358,"Charleston Southern Buccaneers",30,83.3,100,52.9,0.635,58.5,19.8,38.7,33.9,38.3,23.4,7.6,0.2,6.2,29.5,37.5,14.7,22.8,39.1,21,5.1,15.8,24.5,0.36
360,"Saint Peter's Peacocks",30,79.8,100,50.1,0.628,51.2,17.7,33.5,34.6,39.5,27.2,9.7,0.29,7,29.8,35.3,12.7,22.6,35.9,15.9,5,10.9,31.7,0.31
361,"South Carolina State Bulldogs",30,75.7,100,45.7,0.604,50.5,16.4,34.1,32.5,36.1,23.8,10.8,0.3,8.5,29.6,33.5,12.7,20.8,38,17,3.7,13.4,21.5,0.34
362,"Hartford Hawks",28,80.8,100,46.7,0.578,59.6,17,42.6,28.6,32.8,19.3,7.7,0.2,6,26.7,36.7,12,24.7,32.7,22.9,5,17.9,22,0.38
