Date,Opponent,Result,Attendance,GameID
11/09/2023,"('Coastal Carolina', '/teams/560684')",W 88-42,"('1,027', None)",3971116
11/14/2023,"('@ Columbia', '/teams/560692')",W 66-62,"('2,027', None)",3971365
11/16/2023,"('Davidson', '/teams/560706')",L 62-69,"('1,083', None)",3971683
11/19/2023,"('@ Stanford', '/teams/561123')",L 79-82 (1 OT),"('4,236', None)",3972207
11/26/2023,"('N.C. Central', '/teams/560960')",W 93-45,"('1,211', None)",3973114
11/30/2023,"('@ Georgia', '/teams/560774')",W 72-65 (1 OT),"('2,446', None)",3973522
12/03/2023,"('South Carolina', '/teams/561087')",L 61-77,"('5,607', None)",3974106
12/07/2023,"('@ Clemson', '/teams/560679')",L 64-80,"('910', None)",3974553
12/10/2023,"('FGCU', '/teams/560561')",W 82-63,"('1,573', None)",3974943
12/20/2023,"('Toledo', '/teams/561161')",W 70-45,"('1,482', None)",3975925
12/28/2023,"('Coppin St.', '/teams/560697')",W 68-34,"('1,808', None)",3976083
12/31/2023,"('Boston College', '/teams/560619')",W 80-75,"('1,898', None)",3976531
01/04/2024,"('@ Louisville', '/teams/560854')",L 44-61,"('7,789', None)",3976979
01/07/2024,"('@ Virginia', '/teams/561198')",W 60-56,"('5,041', None)",3977495
01/14/2024,"('Georgia Tech', '/teams/560771')",W 84-46,"('2,362', None)",3978532
01/18/2024,"('Virginia Tech', '/teams/561196')",W 63-46,"('2,217', None)",3978995
01/21/2024,"('@ NC State', '/teams/560962')",L 57-72,"('5,500', None)",3979531
01/25/2024,"('Florida St.', '/teams/560754')",W 88-46,"('1,779', None)",3979962
01/28/2024,"('@ Miami (FL)', '/teams/560890')",L 58-64,"('3,112', None)",3980549
02/01/2024,"('@ Pittsburgh', '/teams/561019')",W 69-38,"('1,199', None)",3981020
02/08/2024,"('Wake Forest', '/teams/561201')",W 69-46,"('1,640', None)",3982012
02/11/2024,"('North Carolina', '/teams/560927')",W 68-60 (1 OT),"('9,314', None)",3982589
02/15/2024,"('@ Virginia Tech', '/teams/561196')",L 56-61,"('8,925', None)",3983001
02/19/2024,"('Notre Dame', '/teams/560990')",L 62-70,"('2,485', None)",3983528
02/22/2024,"('@ Syracuse', '/teams/561132')",W 58-45,"('3,480', None)",3983766
02/25/2024,"('NC State', '/teams/560962')",W 69-58,"('4,633', None)",3984083
02/29/2024,"('Virginia', '/teams/561198')",W 73-54,"('2,005', None)",3984319
03/03/2024,"('@ North Carolina', '/teams/560927')",L 59-63,"('6,319', None)",3984600
03/07/2024,"('#10 Georgia Tech @Greensboro, NC (23-24 WBB ACC Tournament)', '/teams/560771')",W 70-58,"('7,424', None)",5246879
03/08/2024,"('#2 NC State @Greensboro, NC (23-24 WBB ACC Tournament)', '/teams/560962')",L 51-54,"('7,720', None)",5246875
03/22/2024,"('#10 Richmond @Columbus, OH (23-24 WBB NCAA Division I Tournament)', '/teams/561043')",W 72-61,"('5,684', None)",5254189
03/24/2024,"('@#2 Ohio St. 23-24 WBB NCAA Division I Tournament', '/teams/560993')",W 75-63,"('8,333', None)",5254190
03/30/2024,"('#3 UConn @Portland, OR (23-24 WBB NCAA Division I Tournament)', '/teams/560694')",L 45-53,"('12,103', None)",5254209
11/06/2023,"('@ Princeton', '/teams/561027')",L 57-65,"('750', None)",3970200
11/11/2023,"('@ Niagara', '/teams/560952')",W 82-79,"('459', None)",3970877
11/14/2023,"('@ Howard', '/teams/560797')",W 65-51,"('2,431', None)",3971332
11/18/2023,"('Pittsburgh', '/teams/561019')",W 56-55,"('2,555', None)",3972008
11/27/2023,"('@ Bowling Green', '/teams/560623')",L 66-68,"('1,717', None)",3973138
12/03/2023,"('Delaware', '/teams/560715')",L 57-74,"('819', None)",3974120
12/05/2023,"('Fordham', '/teams/560759')",W 75-73 (1 OT),"('815', None)",3974203
12/10/2023,"('Kent St.', '/teams/560833')",W 89-82 (2 OT),"('1,054', None)",3974925
12/14/2023,"('Longwood', '/teams/560848')",W 89-69,"('434', None)",3975168
12/16/2023,"('@ Vermont', '/teams/561189')",L 61-77,"('871', None)",3975434
12/20/2023,"('Maine @New Orleans, LA (23-24 WBB Tulane Holiday Tournament)', '/teams/560864')",L 72-80,"('712', None)",4469492
12/21/2023,"('Little Rock @New Orleans, LA (23-24 WBB Tulane Holiday Tournament)', '/teams/560601')",L 52-63,"('565', None)",4469493
12/30/2023,"('@ Dayton', '/teams/560708')",W 70-42,"('2,249', None)",3976484
01/07/2024,"('George Mason', '/teams/560762')",L 75-101,"('924', None)",3977479
01/10/2024,"('@ George Washington', '/teams/560764')",W 71-54,"('202', None)",3977639
01/13/2024,"(""@ Saint Joseph's"", '/teams/561060')",L 62-77,"('507', None)",3978088
01/17/2024,"('St. Bonaventure', '/teams/561053')",W 76-67,"('1,007', None)",3978636
01/21/2024,"('@ Davidson', '/teams/560706')",W 66-59,"('803', None)",3979517
01/24/2024,"('Richmond', '/teams/561043')",W 72-59,"('791', None)",3979657
01/28/2024,"('Loyola Chicago', '/teams/560862')",W 73-57,"('1,232', None)",3980512
01/31/2024,"('@ VCU', '/teams/561193')",L 51-64,"('5,324', None)",3980691
02/03/2024,"('Rhode Island', '/teams/561039')",W 70-61,"('1,175', None)",3981111
02/07/2024,"('@ Massachusetts', '/teams/560880')",W 79-62,"('950', None)",3981678
02/10/2024,"('La Salle', '/teams/560837')",W 57-52,"('988', None)",3982116
02/14/2024,"('@ St. Bonaventure', '/teams/561053')",W 66-50,"('112', None)",3982807
02/17/2024,"('@ Saint Louis', '/teams/561062')",W 82-65,"('1,013', None)",3983082
02/21/2024,"('George Washington', '/teams/560764')",W 79-69,"('0', None)",3983548
02/28/2024,"('@ Richmond', '/teams/561043')",L 74-90,"('1,007', None)",3984134
03/02/2024,"(""Saint Joseph's"", '/teams/561060')",L 73-77,"('1,812', None)",3984367
03/07/2024,"('#13 Massachusetts @Glen Allen, VA (23-24 WBB Atlantic 10 Tournament)', '/teams/560880')",W 81-57,"('2,270', None)",5247319
03/08/2024,"('#4 George Mason @Glen Allen, VA (23-24 WBB Atlantic 10 Tournament)', '/teams/560762')",W 63-62,"('3,556', None)",5247307
03/09/2024,"('#1 Richmond @Glen Allen, VA (23-24 WBB Atlantic 10 Tournament)', '/teams/561043')",L 66-80,"('2,271', None)",5247301
03/25/2024,"('Monmouth 23-24 WBB WNIT', '/teams/560910')",W 69-65 (1 OT),"('1,625', None)",5254431
03/28/2024,"('@ Purdue 23-24 WBB WNIT', '/teams/561032')",L 50-71,"('2,531', None)",5254422
11/06/2023,"('@ Elon', '/teams/561244')",W 68-37,"('692', None)",3970196
11/09/2023,"('USC Upstate', '/teams/560551')",W 105-35,"('1,353', None)",3970512
11/14/2023,"('@ VCU', '/teams/561193')",L 50-55,"('549', None)",3971369
11/20/2023,"('Ohio St. @Nassau, Bahamas (23-24 WBB Pink Flamingo Championship)', '/teams/560993')",L 55-79,"('391', None)",3954390
11/22/2023,"('Seton Hall @Nassau, Bahamas (23-24 WBB Pink Flamingo Championship)', '/teams/561079')",L 57-68,"('297', None)",3972605
11/29/2023,"('Hampton', '/teams/560779')",W 75-55,"('6,166', None)",3973327
12/02/2023,"('Coppin St.', '/teams/560697')",W 59-51,"('1,088', None)",3973917
12/04/2023,"('UMES', '/teams/560878')",W 72-57,"('1,053', None)",3974183
12/18/2023,"('George Mason', '/teams/560762')",W 65-44,"('1,141', None)",3975664
12/21/2023,"('Charleston So.', '/teams/560609')",W 75-46,"('1,092', None)",3975987
12/30/2023,"('South Carolina', '/teams/561087')",L 36-73,"('5,717', None)",3976209
01/02/2024,"('UTSA', '/teams/561159')",W 82-54,"('956', None)",3976610
01/06/2024,"('@ Memphis', '/teams/560884')",W 64-63,"('1,315', None)",3977071
01/10/2024,"('UAB', '/teams/560584')",L 64-73,"('1,114', None)",3977733
01/13/2024,"('@ Tulane', '/teams/561167')",L 55-81,"('709', None)",3978308
01/17/2024,"('Rice', '/teams/561041')",L 67-80,"('5,552', None)",3978658
01/20/2024,"('SMU', '/teams/561107')",W 68-61,"('1,259', None)",3979315
01/25/2024,"('@ Fla. Atlantic', '/teams/560751')",W 78-74,"('435', None)",3979880
01/28/2024,"('@ South Fla.', '/teams/561095')",L 40-54,"('2,984', None)",3980530
02/01/2024,"('Tulsa', '/teams/561173')",W 56-48,"('968', None)",3980980
02/04/2024,"('@ Wichita St.', '/teams/561219')",W 72-51,"('1,500', None)",3981536
02/10/2024,"('Charlotte', '/teams/560928')",W 70-56,"('1,363', None)",3982361
02/14/2024,"('@ Rice', '/teams/561041')",L 57-75,"('623', None)",3982686
02/17/2024,"('Memphis', '/teams/560884')",L 70-72,"('1,287', None)",3983306
02/21/2024,"('South Fla.', '/teams/561095')",L 68-78,"('1,106', None)",3983621
02/24/2024,"('@ SMU', '/teams/561107')",W 74-64,"('1,021', None)",3983820
02/27/2024,"('@ North Texas', '/teams/560969')",L 91-93 (4 OT),"('1,542', None)",3984116
03/03/2024,"('Temple', '/teams/561135')",L 66-81,"('1,170', None)",3984590
03/05/2024,"('@ Charlotte', '/teams/560928')",W 71-66,"('803', None)",3984618
03/10/2024,"('#8 Memphis @Fort Worth, TX (23-24 WBB AAC Tournament)', '/teams/560884')",W 65-63,"('1,506', None)",5250361
03/11/2024,"('#1 Tulsa @Fort Worth, TX (23-24 WBB AAC Tournament)', '/teams/561173')",W 75-71,"('1,551', None)",5250357
03/12/2024,"('#4 UTSA @Fort Worth, TX (23-24 WBB AAC Tournament)', '/teams/561159')",W 55-54,"('1,520', None)",5250355
03/13/2024,"('#10 Rice @Fort Worth, TX (23-24 WBB AAC Tournament)', '/teams/561041')",L 41-61,"('2,682', None)",5250354
11/07/2023,"('@ Kentucky', '/teams/560835')",L 66-74,"('1,139', None)",3970345
11/11/2023,"('Lafayette', '/teams/560839')",W 51-43,"('527', None)",3970866
11/15/2023,"('@ Radford', '/teams/561037')",W 49-45,"('3,000', None)",3971451
11/19/2023,"('@ Presbyterian', '/teams/561252')",W 72-56,"('316', None)",3972261
11/24/2023,"('Norfolk St. @Coral Gables, FL (23-24 WBB Miami Thanksgiving Tournament)', '/teams/560957')",W 55-35,"('2,169', None)",3972694
11/26/2023,"('@ Miami (FL) 23-24 WBB Miami Thanksgiving Tournament', '/teams/560890')",L 44-68,"('2,038', None)",3996079
11/30/2023,"('Lipscomb', '/teams/560559')",L 45-68,"('473', None)",3973614
12/03/2023,"('@ Morehead St.', '/teams/560916')",W 56-52,"('1,050', None)",3974147
12/06/2023,"('Charleston So.', '/teams/560609')",W 79-52,"('378', None)",3974390
12/10/2023,"('Lees-McRae', '/teams/561430')",W 77-42,"('4,121', None)",3974971
12/14/2023,"('UNC Asheville', '/teams/560925')",W 60-51,"('412', None)",3975224
12/17/2023,"('Campbell', '/teams/560665')",W 54-39,"('683', None)",3975558
12/20/2023,"('Gardner-Webb', '/teams/561246')",W 60-48,"('3,281', None)",3975904
12/22/2023,"('@ Clemson', '/teams/560679')",L 50-73,"('890', None)",3976040
12/30/2023,"('Coker', '/teams/561283')",W 65-53,"('522', None)",3976426
01/11/2024,"('Samford', '/teams/561068')",W 57-40,"('478', None)",3977976
01/13/2024,"('Mercer', '/teams/560886')",W 77-71,"('561', None)",3978392
01/20/2024,"('@ Chattanooga', '/teams/561140')",L 50-52,"('1,849', None)",3979365
01/25/2024,"('@ Western Caro.', '/teams/561211')",W 56-47,"('558', None)",3979997
01/27/2024,"('@ UNC Greensboro', '/teams/560930')",L 50-54,"('498', None)",3980301
02/01/2024,"('Furman', '/teams/560760')",W 78-59,"('659', None)",3981025
02/03/2024,"('Wofford', '/teams/560550')",L 65-77,"('3,615', None)",3981308
02/08/2024,"('@ Mercer', '/teams/560886')",L 57-65,"('618', None)",3982014
02/10/2024,"('@ Samford', '/teams/561068')",W 69-56,"('379', None)",3982299
02/17/2024,"('Chattanooga', '/teams/561140')",L 41-56,"('817', None)",3983469
02/22/2024,"('UNC Greensboro', '/teams/560930')",W 54-51,"('411', None)",3983769
02/24/2024,"('Western Caro.', '/teams/561211')",W 71-33,"('1,052', None)",3984011
02/29/2024,"('@ Wofford', '/teams/560550')",L 64-75,"('574', None)",3984303
03/02/2024,"('@ Furman', '/teams/560760')",L 59-67,"('417', None)",3984542
03/07/2024,"('#4 Mercer @Asheville, NC (23-24 WBB SoCon Tournament)', '/teams/560886')",L 52-67,"('3,029', None)",5249777
11/06/2023,"('@ IU Indy', '/teams/561257')",L 72-77,"('501', None)",3970321
11/09/2023,"('@ Indiana', '/teams/560811')",L 43-96,"('8,380', None)",3954587
11/12/2023,"('Valparaiso', '/teams/561185')",W 75-62,"('545', None)",3971198
11/24/2023,"('Nicholls @Phoenix, AZ (23-24 WBB GCU Classic)', '/teams/560954')",L 55-63,"('212', None)",3972734
11/25/2023,"('Fresno St. @Phoenix, AZ (23-24 WBB GCU Classic)', '/teams/560644')",L 60-70,"('114', None)",3972863
11/28/2023,"('@ New Mexico', '/teams/560948')",L 78-81 (1 OT),"('4,471', None)",3973209
12/02/2023,"('@ Loyola Chicago', '/teams/560862')",L 44-58,"('615', None)",3973740
12/05/2023,"('@ Bradley', '/teams/560625')",W 79-67,"('372', None)",3974246
12/07/2023,"('North Dakota', '/teams/560967')",W 67-55,"('2,546', None)",3974482
12/09/2023,"('@ Wright St.', '/teams/561231')",L 67-81,"('1,219', None)",3974884
12/15/2023,"('Milwaukee', '/teams/561229')",L 52-59,"('175', None)",3975273
12/18/2023,"('@ NIU', '/teams/560979')",L 55-65,"('326', None)",3975580
12/21/2023,"('@ Wisconsin', '/teams/561227')",L 64-76,"('3,622', None)",3954156
12/29/2023,"('@ SIUE', '/teams/561105')",W 80-74,"('869', None)",3976167
01/04/2024,"('@ UT Martin', '/teams/561144')",W 72-70,"('1,107', None)",3976883
01/06/2024,"('@ Little Rock', '/teams/560601')",L 49-53,"('987', None)",3977213
01/11/2024,"('Morehead St.', '/teams/560916')",L 67-69,"('705', None)",3977861
01/13/2024,"('Western Ill.', '/teams/561213')",W 72-63,"('727', None)",3978167
01/20/2024,"('@ Lindenwood', '/teams/561261')",W 68-60,"('621', None)",3979199
01/25/2024,"('Tennessee Tech', '/teams/561138')",W 73-71,"('735', None)",3979891
01/27/2024,"('Tennessee St.', '/teams/561137')",W 71-67 (1 OT),"('841', None)",3980182
02/01/2024,"('UT Martin', '/teams/561144')",L 65-80,"('568', None)",3980900
02/03/2024,"('Little Rock', '/teams/560601')",L 48-55,"('588', None)",3981205
02/08/2024,"('@ Southern Ind.', '/teams/561263')",L 60-70,"('803', None)",3981907
02/10/2024,"('@ Morehead St.', '/teams/560916')",W 105-103 (4 OT),"('1,158', None)",3982223
02/15/2024,"('Southeast Mo. St.', '/teams/561097')",W 71-52,"('864', None)",3982888
02/17/2024,"('Lindenwood', '/teams/561261')",W 68-62,"('913', None)",3983179
02/22/2024,"('@ Tennessee St.', '/teams/561137')",W 66-56,"('443', None)",3983669
02/24/2024,"('@ Tennessee Tech', '/teams/561138')",L 73-75,"('1,278', None)",3983883
02/27/2024,"('SIUE', '/teams/561105')",W 80-66,"('1,056', None)",3984102
02/29/2024,"('@ Western Ill.', '/teams/561213')",L 54-64,"('811', None)",3984225
03/07/2024,"('#8 Tennessee St. @Evansville, IN (23-24 WBB OVC Tournament)', '/teams/561137')",W 60-48,"('830', None)",5249391
03/08/2024,"('#1 Southern Ind. @Evansville, IN (23-24 WBB OVC Tournament)', '/teams/561263')",L 54-69,"('1,157', None)",5249389
11/06/2023,"('@ Drake', '/teams/560720')",L 69-94,"('2,108', None)",3970313
11/11/2023,"('UW-River Falls', '/teams/561965')",W 101-62,"('491', None)",3970993
11/18/2023,"('Utah Valley', '/teams/560563')",W 70-62,"('315', None)",3972063
11/21/2023,"(""@ Saint Mary's (CA)"", '/teams/561064')",W 74-60,"('308', None)",3972545
11/24/2023,"('UC Irvine @Stockton, CA (23-24 WBB Tiger Turkey Tip-Off)', '/teams/560660')",L 63-74,"('253', None)",3972735
11/25/2023,"('Butler @Stockton, CA (23-24 WBB Tiger Turkey Tip-Off)', '/teams/560638')",L 54-76,"('506', None)",3972995
11/29/2023,"('Iowa St.', '/teams/560816')",L 44-85,"('979', None)",3973438
12/02/2023,"('@ Western Ill.', '/teams/561213')",L 78-82,"('623', None)",3973785
12/07/2023,"('@ Milwaukee', '/teams/561229')",W 67-65,"('704', None)",3974533
12/09/2023,"('@ Purdue Fort Wayne', '/teams/560812')",W 64-59,"('1,838', None)",3974882
12/13/2023,"('Wisconsin', '/teams/561227')",L 55-78,"('883', None)",3954155
12/16/2023,"('Wis.-Stevens Point', '/teams/561966')",W 82-49,"('303', None)",3975456
12/29/2023,"('North Dakota', '/teams/560967')",W 95-76,"('435', None)",3976118
12/31/2023,"('@ Kansas City', '/teams/560547')",W 66-57,"('472', None)",3976532
01/03/2024,"('Sacramento St.', '/teams/560652')",W 70-52,"('623', None)",3976787
01/06/2024,"('@ Portland St.', '/teams/561021')",W 62-44,"('371', None)",3977327
01/11/2024,"('@ South Dakota St.', '/teams/561089')",L 55-75,"('1,536', None)",3977973
01/13/2024,"('Oral Roberts', '/teams/561003')",W 73-72,"('360', None)",3978129
01/18/2024,"('South Dakota', '/teams/561093')",L 61-63,"('445', None)",3978967
01/25/2024,"('@ North Dakota St.', '/teams/560965')",L 52-85,"('523', None)",3979986
01/27/2024,"('@ North Dakota', '/teams/560967')",W 76-66,"('1,290', None)",3980153
02/01/2024,"('Omaha', '/teams/560936')",W 88-83,"('405', None)",3981001
02/03/2024,"('Kansas City', '/teams/560547')",W 75-55,"('445', None)",3981135
02/08/2024,"('@ Oral Roberts', '/teams/561003')",L 73-80,"('764', None)",3982011
02/10/2024,"('Denver', '/teams/560717')",L 61-67,"('345', None)",3982174
02/17/2024,"('@ South Dakota', '/teams/561093')",L 61-75,"('1,702', None)",3983461
02/22/2024,"('North Dakota St.', '/teams/560965')",L 53-96,"('451', None)",3983749
02/24/2024,"('South Dakota St.', '/teams/561089')",L 63-97,"('946', None)",3983843
02/29/2024,"('@ Omaha', '/teams/560936')",L 62-79,"('542', None)",3984330
03/02/2024,"('@ Denver', '/teams/560717')",W 79-68,"('517', None)",3984434
03/10/2024,"('#4 South Dakota @Sioux Falls, SD (23-24 WBB Summit League Tournament)', '/teams/561093')",L 57-70,"('8,061', None)",5250274
11/06/2023,"('Hanover', '/teams/562023')",W 94-43,"('608', None)",3970309
11/09/2023,"('@ SIUE', '/teams/561105')",W 74-72,"('473', None)",3970506
11/11/2023,"('Northern Ky.', '/teams/560984')",W 86-75,"('674', None)",3970957
11/15/2023,"('@ Evansville', '/teams/560743')",W 77-75,"('323', None)",3971535
11/18/2023,"('UAB @Anchorage, AK (23-24 WBB Great Alaska Shootout)', '/teams/560584')",W 68-64,"('1,613', None)",3972176
11/19/2023,"('Utah @Anchorage, AK (23-24 WBB Great Alaska Shootout)', '/teams/561183')",L 72-117,"('2,329', None)",3984853
11/25/2023,"('Camp. Harrodsburg', None)",W 100-25,"('441', None)",3972983
12/04/2023,"('Simmons (KY)', None)",W 94-38,"('355', None)",3974161
12/06/2023,"('Miami (OH)', '/teams/560888')",W 85-55,"('2,136', None)",3974313
12/10/2023,"('@ Tennessee', '/teams/561142')",L 63-72,"('7,785', None)",3974984
12/15/2023,"('@ Tennessee St.', '/teams/561137')",W 79-69,"('174', None)",3975248
12/17/2023,"('@ Chattanooga', '/teams/561140')",L 44-52,"('1,322', None)",3975576
12/19/2023,"('@ Southeast Mo. St.', '/teams/561097')",W 57-48,"('510', None)",3975790
12/29/2023,"('Samford', '/teams/561068')",W 59-54,"('458', None)",3976189
01/04/2024,"('@ Lipscomb', '/teams/560559')",L 59-64,"('233', None)",3976934
01/06/2024,"('@ Austin Peay', '/teams/560605')",L 52-62,"('1,907', None)",3977218
01/13/2024,"('@ Bellarmine', '/teams/561171')",W 79-66,"('457', None)",3978212
01/18/2024,"('Central Ark.', '/teams/561240')",W 65-58,"('524', None)",3978978
01/20/2024,"('North Ala.', '/teams/560572')",W 67-58,"('1,116', None)",3979469
01/25/2024,"('@ Jacksonville', '/teams/560825')",W 59-51,"('350', None)",3979972
01/27/2024,"('@ North Florida', '/teams/560548')",W 79-56,"('467', None)",3980277
01/31/2024,"('Stetson', '/teams/561128')",L 62-65,"('813', None)",3980833
02/03/2024,"('@ FGCU', '/teams/560561')",L 69-82,"('1,804', None)",3981535
02/08/2024,"('Queens (NC)', '/teams/561260')",W 88-67,"('351', None)",3982004
02/10/2024,"('Kennesaw St.', '/teams/561250')",W 69-66,"('781', None)",3982500
02/15/2024,"('@ North Ala.', '/teams/560572')",W 84-57,"('1,142', None)",3982927
02/17/2024,"('@ Central Ark.', '/teams/561240')",L 49-83,"('434', None)",3983255
02/20/2024,"('@ Chicago St.', '/teams/560675')",W 85-63,"('313', None)",3983529
02/24/2024,"('Bellarmine', '/teams/561171')",W 72-67,"('611', None)",3984033
02/29/2024,"('Austin Peay', '/teams/560605')",L 55-63,"('470', None)",3984306
03/02/2024,"('Lipscomb', '/teams/560559')",L 68-71,"('811', None)",3984504
03/09/2024,"('@#4 Lipscomb 23-24 WBB ASUN Tournament', '/teams/560559')",W 99-68,"('276', None)",5250014
03/12/2024,"('@#3 Central Ark. 23-24 WBB ASUN Tournament', '/teams/561240')",L 57-68,"('1,845', None)",5250012
03/20/2024,"('@ Purdue Fort Wayne 23-24 WBB WNIT', '/teams/560812')",L 75-83,"('559', None)",5254442
11/06/2023,"('Detroit Mercy', '/teams/560719')",L 38-68,"('1,426', None)",3970184
11/11/2023,"('@ Ga. Southern', '/teams/560768')",L 58-82,"('511', None)",3970959
11/18/2023,"('SIUE', '/teams/561105')",W 68-65,"('2,985', None)",3971840
11/24/2023,"('@ Michigan', '/teams/560896')",L 44-80,"('4,052', None)",3954267
12/01/2023,"('@ North Dakota St.', '/teams/560965')",L 73-93,"('613', None)",3973697
12/03/2023,"('@ North Dakota', '/teams/560967')",L 56-64,"('1,349', None)",3974098
12/07/2023,"('@ Lindenwood', '/teams/561261')",L 64-71,"('317', None)",3974522
12/09/2023,"('@ Southern Ind.', '/teams/561263')",L 51-72,"('513', None)",3974691
12/15/2023,"('@ IU Indy', '/teams/561257')",W 84-74 (1 OT),"('414', None)",3975287
12/29/2023,"('Saginaw Valley', '/teams/561597')",W 69-44,"('1,382', None)",3976089
01/03/2024,"('@ NIU', '/teams/560979')",W 67-49,"('375', None)",3976753
01/06/2024,"('Toledo', '/teams/561161')",L 35-48,"('1,622', None)",3977047
01/10/2024,"('@ Bowling Green', '/teams/560623')",L 57-69,"('1,897', None)",3977633
01/13/2024,"('Central Mich.', '/teams/560673')",L 60-64,"('1,392', None)",3978063
01/17/2024,"('Miami (OH)', '/teams/560888')",W 53-48,"('1,311', None)",3978634
01/20/2024,"('@ Ohio', '/teams/560996')",L 62-72,"('0', None)",3979229
01/24/2024,"('@ Kent St.', '/teams/560833')",L 57-66,"('754', None)",3979842
01/27/2024,"('Ball St.', '/teams/560607')",L 50-75,"('1,495', None)",3980074
01/31/2024,"('Western Mich.', '/teams/561217')",L 49-76,"('1,358', None)",3980670
02/03/2024,"('@ Buffalo', '/teams/560636')",L 63-75,"('1,880', None)",3981109
02/07/2024,"('Akron', '/teams/560576')",L 67-68 (1 OT),"('1,431', None)",3981673
02/10/2024,"('South Alabama', '/teams/561083')",W 81-69,"('1,318', None)",4546533
02/17/2024,"('NIU', '/teams/560979')",L 52-61,"('1,428', None)",3983070
02/21/2024,"('@ Western Mich.', '/teams/561217')",L 55-65,"('797', None)",3983563
02/24/2024,"('@ Miami (OH)', '/teams/560888')",L 37-48,"('1,529', None)",3983903
02/28/2024,"('Kent St.', '/teams/560833')",L 64-76,"('1,440', None)",3984120
03/02/2024,"('@ Ball St.', '/teams/560607')",L 47-75,"('2,154', None)",3984390
03/06/2024,"('@ Toledo', '/teams/561161')",L 41-87,"('4,877', None)",3984636
03/09/2024,"('Bowling Green', '/teams/560623')",W 59-54,"('1,476', None)",3984684
11/08/2023,"('@ Southern Utah', '/teams/561114')",W 86-77,"('740', None)",3970361
11/10/2023,"('@ Utah St.', '/teams/561181')",W 75-39,"('326', None)",3970558
11/16/2023,"('Corban', None)",W 72-47,"('586', None)",3971620
11/20/2023,"('@ UC Irvine', '/teams/560660')",L 63-71,"('537', None)",3972319
11/22/2023,"('@ Tarleton St.', '/teams/560568')",W 64-62,"('427', None)",3972666
11/29/2023,"('Gonzaga', '/teams/560776')",L 80-82,"('1,378', None)",3973315
12/03/2023,"('Boise St.', '/teams/560617')",W 64-43,"('729', None)",3974119
12/09/2023,"('Walla Walla', None)",W 82-33,"('429', None)",3974911
12/15/2023,"('@ California', '/teams/560656')",L 70-78,"('4,112', None)",3975234
12/21/2023,"('Presbyterian @Las Vegas, NV (23-24 WBB Holiday Hoops Classic)', '/teams/561252')",W 92-51,"('50', None)",3976012
12/22/2023,"('Wyoming @Las Vegas, NV (23-24 WBB Holiday Hoops Classic)', '/teams/561233')",W 62-43,"('50', None)",3976042
12/28/2023,"('@ Portland St.', '/teams/561021')",W 68-58,"('563', None)",3976074
12/30/2023,"('@ Sacramento St.', '/teams/560652')",W 60-33,"('329', None)",3976377
01/03/2024,"('Omaha', '/teams/560936')",W 96-82,"('492', None)",3976623
01/06/2024,"('@ North Dakota', '/teams/560967')",W 72-65,"('1,316', None)",3977136
01/13/2024,"('@ Idaho', '/teams/560801')",W 67-44,"('1,045', None)",3978067
01/18/2024,"('Weber St.', '/teams/561207')",W 56-38,"('2,231', None)",3978858
01/20/2024,"('Idaho St.', '/teams/560799')",W 68-46,"('672', None)",3979075
01/25/2024,"('@ Northern Colo.', '/teams/560977')",W 68-62,"('753', None)",3979961
01/27/2024,"('@ Northern Ariz.', '/teams/560975')",L 81-89 (1 OT),"('452', None)",3980096
02/01/2024,"('Montana St.', '/teams/560912')",L 61-62,"('539', None)",3980886
02/03/2024,"('Montana', '/teams/560914')",W 61-56,"('592', None)",3981106
02/05/2024,"('Portland St.', '/teams/561021')",W 63-39,"('491', None)",3981583
02/10/2024,"('Idaho', '/teams/560801')",W 62-52,"('964', None)",3982114
02/15/2024,"('@ Idaho St.', '/teams/560799')",W 59-56,"('720', None)",3982875
02/17/2024,"('@ Weber St.', '/teams/561207')",W 74-54,"('331', None)",3983369
02/22/2024,"('Northern Ariz.', '/teams/560975')",W 67-42,"('779', None)",3983647
02/24/2024,"('Northern Colo.', '/teams/560977')",W 68-63,"('859', None)",3983795
02/29/2024,"('@ Montana', '/teams/560914')",W 56-55,"('3,495', None)",3984304
03/02/2024,"('@ Montana St.', '/teams/560912')",W 52-50,"('2,007', None)",3984507
03/04/2024,"('Sacramento St.', '/teams/560652')",W 72-59,"('823', None)",3984604
03/10/2024,"('#9 Weber St. @Boise, ID (23-24 WBB Big Sky Tournament)', '/teams/561207')",W 71-58,"('1,970', None)",5250373
03/12/2024,"('#4 Montana St. @Boise, ID (23-24 WBB Big Sky Tournament)', '/teams/560912')",W 56-39,"('1,900', None)",5250369
03/13/2024,"('#2 Northern Ariz. @Boise, ID (23-24 WBB Big Sky Tournament)', '/teams/560975')",W 73-64,"('1,840', None)",5250368
03/22/2024,"('@#3 Oregon St. 23-24 WBB NCAA Division I Tournament', '/teams/561005')",L 51-73,"('6,923', None)",5254187
11/07/2023,"('Lipscomb', '/teams/560559')",L 58-77,"('592', None)",3970338
11/12/2023,"('@ SIUE', '/teams/561105')",L 83-91,"('448', None)",3971172
11/15/2023,"('Eastern Ky.', '/teams/560737')",L 75-77,"('323', None)",3971535
11/19/2023,"('@ Michigan St.', '/teams/560894')",L 49-105,"('3,107', None)",3954418
11/26/2023,"('@ Chicago St.', '/teams/560675')",W 103-102 (3 OT),"('79', None)",3973030
