Date,Opponent,Result,Attendance,GameID
11/17/2023,"('@ Charleston So.', '/teams/560609')",W 70-60,"('721', None)",3971782
11/20/2023,"('Gardner-Webb', '/teams/561246')",W 90-78,"('285', None)",3972279
11/25/2023,"('N.C. Wesleyan', '/teams/561805')",W 112-40,"('232', None)",3972806
12/02/2023,"('@ Coastal Carolina', '/teams/560684')",W 84-83 (1 OT),"('565', None)",3973803
12/05/2023,"('@ App State', '/teams/560592')",L 73-77,"('318', None)",3974226
12/11/2023,"('Jacksonville St.', '/teams/560823')",W 69-58,"('122', None)",3975015
12/16/2023,"('@ Robert Morris', '/teams/561046')",L 65-71,"('207', None)",3975313
12/19/2023,"('South Carolina St.', '/teams/561085')",W 84-64,"('315', None)",3975815
12/21/2023,"('Radford', '/teams/561037')",W 74-50,"('333', None)",3975971
01/05/2024,"('@ N.C. A&T', '/teams/560959')",W 63-58,"('906', None)",3977023
01/07/2024,"('@ Elon', '/teams/561244')",W 57-45,"('762', None)",3977484
01/12/2024,"('Drexel', '/teams/560722')",W 60-48,"('420', None)",3977982
01/14/2024,"('Monmouth', '/teams/560910')",L 62-75,"('517', None)",3978493
01/19/2024,"('@ Stony Brook', '/teams/561130')",L 71-81,"('1,317', None)",3978999
01/21/2024,"('@ Northeastern', '/teams/560973')",W 83-46,"('241', None)",3979547
01/28/2024,"('UNCW', '/teams/560932')",W 94-59,"('401', None)",3980513
02/02/2024,"('Hampton', '/teams/560779')",W 86-57,"('424', None)",3981029
02/04/2024,"('@ Towson', '/teams/561163')",L 59-66,"('1,550', None)",3981538
02/09/2024,"('N.C. A&T', '/teams/560959')",W 66-62,"('452', None)",3982033
02/11/2024,"('Campbell', '/teams/560665')",W 65-51,"('425', None)",3982550
02/18/2024,"('@ UNCW', '/teams/560932')",W 97-58,"('827', None)",3983492
02/23/2024,"('@ Hofstra', '/teams/560788')",W 88-59,"('519', None)",3983790
02/25/2024,"('@ Monmouth', '/teams/560910')",L 63-73,"('816', None)",3984056
03/01/2024,"('Towson', '/teams/561163')",L 55-67,"('312', None)",3984338
03/03/2024,"('William & Mary', '/teams/561221')",W 77-72,"('358', None)",3984578
03/07/2024,"('@ Campbell', '/teams/560665')",W 60-57,"('906', None)",3984656
03/09/2024,"('Delaware', '/teams/560715')",W 102-77,"('438', None)",3984686
03/15/2024,"('#6 Towson @Washington, DC (23-24 WBB CAA Tournament)', '/teams/561163')",L 60-69,"('900', None)",5250663
