,Quarter,text,team,gameID,Date,Player,WL
4,1,"Jorie Allen, jumpball won",DePaul,3970538,11/09/2023,Jorie Allen,jumpball won
3,1,"Olivia Cochran, jumpball won",Louisville,3971240,11/12/2023,Olivia Cochran,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3971240,11/12/2023,Jorie Allen,jumpball lost
3,1,"Carley Duffney, jumpball won",South Dakota,3972159,11/18/2023,Carley Duffney,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3972159,11/18/2023,Jorie Allen,jumpball lost
3,1,"Anastasiia Boldyreva, jumpball won",Middle Tenn.,3984851,11/19/2023,Anastasiia Boldyreva,jumpball won
4,1,"Brynn Masikewich, jumpball lost",DePaul,3984851,11/19/2023,Brynn Masikewich,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3984847,11/20/2023,Jorie Allen,jumpball won
4,1,"Vanessa Blake, jumpball lost",Howard,3984847,11/20/2023,Vanessa Blake,jumpball lost
3,1,"Sitori Tanin, jumpball won",Loyola Chicago,3973116,11/26/2023,Sitori Tanin,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3973116,11/26/2023,Jorie Allen,jumpball lost
3,1,"Jorie Allen, jumpball lost",DePaul,3954420,11/30/2023,Jorie Allen,jumpball lost
4,1,"Julia Ayrault, jumpball won",Michigan St.,3954420,11/30/2023,Julia Ayrault,jumpball won
3,1,"Jasmine Kondrakiewicz, jumpball won",Green Bay,3974211,12/05/2023,Jasmine Kondrakiewicz,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3974211,12/05/2023,Jorie Allen,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3974603,12/08/2023,Jorie Allen,jumpball won
4,1,"Kyla Oldacre, jumpball lost",Miami (FL),3974603,12/08/2023,Kyla Oldacre,jumpball lost
3,1,"Paige Mott, jumpball won",Northwestern,3954530,12/13/2023,Paige Mott,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3954530,12/13/2023,Jorie Allen,jumpball lost
3,1,"Jorie Allen, jumpball lost",DePaul,3975856,12/20/2023,Jorie Allen,jumpball lost
4,1,"Nila Blackford, jumpball won",Xavier,3975856,12/20/2023,Nila Blackford,jumpball won
3,1,"Ariel Jenkins, jumpball won",Georgetown,3976549,12/31/2023,Ariel Jenkins,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3976549,12/31/2023,Jorie Allen,jumpball lost
3,1,"Olivia Olsen, jumpball won",Providence,3976651,01/03/2024,Olivia Olsen,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3976651,01/03/2024,Jorie Allen,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3978085,01/13/2024,Jorie Allen,jumpball won
4,1,"Skylar Forbes, jumpball lost",Marquette,3978085,01/13/2024,Skylar Forbes,jumpball lost
3,1,"Nila Blackford, jumpball won",Xavier,3978631,01/16/2024,Nila Blackford,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3978631,01/16/2024,Jorie Allen,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3979994,01/25/2024,Jorie Allen,jumpball won
4,1,"Jillian Archer, jumpball lost",St. John's (NY),3979994,01/25/2024,Jillian Archer,jumpball lost
479,5,"Phoenix Gedeon, jumpball won",St. John's (NY),3979994,01/25/2024,Phoenix Gedeon,jumpball won
480,5,"Jorie Allen, jumpball lost",DePaul,3979994,01/25/2024,Jorie Allen,jumpball lost
573,6,"Phoenix Gedeon, jumpball won",St. John's (NY),3979994,01/25/2024,Phoenix Gedeon,jumpball won
574,6,"Charlece Ohiaeri, jumpball lost",DePaul,3979994,01/25/2024,Charlece Ohiaeri,jumpball lost
3,1,"Jorie Allen, jumpball lost",DePaul,3980536,01/28/2024,Jorie Allen,jumpball lost
4,1,"Christina Dalce, jumpball won",Villanova,3980536,01/28/2024,Christina Dalce,jumpball won
3,1,"Ariel Jenkins, jumpball won",Georgetown,3981574,02/04/2024,Ariel Jenkins,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3981574,02/04/2024,Jorie Allen,jumpball lost
3,1,"Olivia Olsen, jumpball won",Providence,3981860,02/07/2024,Olivia Olsen,jumpball won
4,1,"Brynn Masikewich, jumpball lost",DePaul,3981860,02/07/2024,Brynn Masikewich,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3982665,02/13/2024,Jorie Allen,jumpball won
4,1,"Liza Karlen, jumpball lost",Marquette,3982665,02/13/2024,Liza Karlen,jumpball lost
3,1,"Azana Baines, jumpball won",Seton Hall,3983209,02/17/2024,Azana Baines,jumpball won
4,1,"Brynn Masikewich, jumpball lost",DePaul,3983209,02/17/2024,Brynn Masikewich,jumpball lost
3,1,"Maddie Burke, jumpball won",Villanova,3984602,03/03/2024,Maddie Burke,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,3984602,03/03/2024,Jorie Allen,jumpball lost
3,1,"Azana Baines, jumpball won",Seton Hall,5250240,03/08/2024,Azana Baines,jumpball won
4,1,"Jorie Allen, jumpball lost",DePaul,5250240,03/08/2024,Jorie Allen,jumpball lost
3,1,"Rayne Tucker, jumpball won",Temple,3970201,11/06/2023,Rayne Tucker,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3970201,11/06/2023,Noami Zulueta,jumpball lost
3,1,"Noami Zulueta, jumpball lost",Delaware St.,3970548,11/10/2023,Noami Zulueta,jumpball lost
4,1,"Hetta Saatman, jumpball won",Drexel,3970548,11/10/2023,Hetta Saatman,jumpball won
5,1,"Noami Zulueta, jumpball lost",Delaware St.,3971201,11/12/2023,Noami Zulueta,jumpball lost
6,1,"Maggie Doogan, jumpball won",Richmond,3971201,11/12/2023,Maggie Doogan,jumpball won
3,1,"Zyheima Swint, jumpball won",Hofstra,3971452,11/15/2023,Zyheima Swint,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3971452,11/15/2023,Noami Zulueta,jumpball lost
3,1,"Noami Zulueta, jumpball lost",Delaware St.,3972636,11/22/2023,Noami Zulueta,jumpball lost
4,1,"Khari Clark, jumpball won",Stony Brook,3972636,11/22/2023,Khari Clark,jumpball won
3,1,"Chyna Cornwell, jumpball won",Rutgers,3728206,11/29/2023,Chyna Cornwell,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3728206,11/29/2023,McKenzie Stewart,jumpball lost
3,1,"Noami Zulueta, jumpball won",Delaware St.,3974167,12/04/2023,Noami Zulueta,jumpball won
4,1,"Samantha Bailey, jumpball lost",LIU,3974167,12/04/2023,Samantha Bailey,jumpball lost
3,1,"Noami Zulueta, jumpball won",Delaware St.,3974304,12/06/2023,Noami Zulueta,jumpball won
4,1,"Aniyah Bond, jumpball lost",Wilmington (DE),3974304,12/06/2023,Aniyah Bond,jumpball lost
3,1,"Kylee Blacksten, jumpball lost",West Virginia,3974990,12/10/2023,Kylee Blacksten,jumpball lost
4,1,"Noami Zulueta, jumpball won",Delaware St.,3974990,12/10/2023,Noami Zulueta,jumpball won
3,1,"Noami Zulueta, jumpball won",Delaware St.,4489334,12/17/2023,Noami Zulueta,jumpball won
4,1,"Kenya Wagner, jumpball lost",New Jersey City,4489334,12/17/2023,Kenya Wagner,jumpball lost
3,1,"Klarke Sconiers, jumpball won",Delaware,3975998,12/21/2023,Klarke Sconiers,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3975998,12/21/2023,Noami Zulueta,jumpball lost
3,1,"Noami Zulueta, jumpball won",Delaware St.,3976395,12/30/2023,Noami Zulueta,jumpball won
4,1,"Lex Therien, jumpball lost",Loyola Maryland,3976395,12/30/2023,Lex Therien,jumpball lost
3,1,"Lainey Allen, jumpball won",UMES,3979348,01/20/2024,Lainey Allen,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3979348,01/20/2024,Noami Zulueta,jumpball lost
3,1,"Jayah Hicks, jumpball won",South Carolina St.,3980346,01/27/2024,Jayah Hicks,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3980346,01/27/2024,Noami Zulueta,jumpball lost
3,1,"Jada Tiggett, jumpball won",N.C. Central,3980578,01/29/2024,Jada Tiggett,jumpball won
4,1,"Noami Zulueta, jumpball lost",Delaware St.,3980578,01/29/2024,Noami Zulueta,jumpball lost
3,1,"McKenzie Stewart, jumpball won",Delaware St.,3981414,02/03/2024,McKenzie Stewart,jumpball won
4,1,"Skye Robinson, jumpball lost",Norfolk St.,3981414,02/03/2024,Skye Robinson,jumpball lost
3,1,"Vanessa Blake, jumpball won",Howard,3981592,02/05/2024,Vanessa Blake,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3981592,02/05/2024,McKenzie Stewart,jumpball lost
3,1,"McKenzie Stewart, jumpball won",Delaware St.,3984093,02/26/2024,McKenzie Stewart,jumpball won
4,1,"Morgan Callahan, jumpball lost",N.C. Central,3984093,02/26/2024,Morgan Callahan,jumpball lost
608,5,"Jada Tiggett, jumpball won",N.C. Central,3984093,02/26/2024,Jada Tiggett,jumpball won
609,5,"McKenzie Stewart, jumpball lost",Delaware St.,3984093,02/26/2024,McKenzie Stewart,jumpball lost
3,1,"Laila Fair, jumpball won",Morgan St.,3983521,02/29/2024,Laila Fair,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3983521,02/29/2024,McKenzie Stewart,jumpball lost
3,1,"Skye Robinson, jumpball won",Norfolk St.,3984509,03/02/2024,Skye Robinson,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3984509,03/02/2024,McKenzie Stewart,jumpball lost
3,1,"Vanessa Blake, jumpball won",Howard,3984612,03/04/2024,Vanessa Blake,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3984612,03/04/2024,McKenzie Stewart,jumpball lost
3,1,"Mahogany Lester, jumpball won",UMES,3984661,03/07/2024,Mahogany Lester,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,3984661,03/07/2024,McKenzie Stewart,jumpball lost
3,1,"Aniya Finger, jumpball won",N.C. Central,5250877,03/14/2024,Aniya Finger,jumpball won
4,1,"McKenzie Stewart, jumpball lost",Delaware St.,5250877,03/14/2024,McKenzie Stewart,jumpball lost
3,1,"Otaifo Esenabhalu, jumpball won",Longwood,3970543,11/09/2023,Otaifo Esenabhalu,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3970543,11/09/2023,Klarke Sconiers,jumpball lost
3,1,"Klarke Sconiers, jumpball lost",Delaware,3971420,11/14/2023,Klarke Sconiers,jumpball lost
4,1,"Lily Fandre, jumpball won",Lehigh,3971420,11/14/2023,Lily Fandre,jumpball won
3,1,"Klarke Sconiers, jumpball won",Delaware,3995885,11/25/2023,Klarke Sconiers,jumpball won
4,1,"Renna Schwieterman, jumpball lost",Purdue Fort Wayne,3995885,11/25/2023,Renna Schwieterman,jumpball lost
3,1,"Anna Olson, jumpball won",Vermont,3995880,11/26/2023,Anna Olson,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3995880,11/26/2023,Klarke Sconiers,jumpball lost
3,1,"Klarke Sconiers, jumpball lost",Delaware,3974120,12/03/2023,Klarke Sconiers,jumpball lost
4,1,"Amaya Hamilton, jumpball won",Duquesne,3974120,12/03/2023,Amaya Hamilton,jumpball won
3,1,"Simone Cunningham, jumpball won",Old Dominion,3974552,12/07/2023,Simone Cunningham,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3974552,12/07/2023,Klarke Sconiers,jumpball lost
3,1,"Darrionna Howard, jumpball won",Delaware,3975049,12/11/2023,Darrionna Howard,jumpball won
4,1,"Mykel Parham, jumpball lost",VCU,3975049,12/11/2023,Mykel Parham,jumpball lost
3,1,"Klarke Sconiers, jumpball lost",Delaware,3975221,12/14/2023,Klarke Sconiers,jumpball lost
4,1,"Rayne Tucker, jumpball won",Temple,3975221,12/14/2023,Rayne Tucker,jumpball won
3,1,"Katie Krupa, jumpball won",Harvard,3976539,12/31/2023,Katie Krupa,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3976539,12/31/2023,Klarke Sconiers,jumpball lost
5,1,"Oralye Kiefer, jumpball won",Northeastern,3977027,01/05/2024,Oralye Kiefer,jumpball won
6,1,"Klarke Sconiers, jumpball lost",Delaware,3977027,01/05/2024,Klarke Sconiers,jumpball lost
3,1,"Klarke Sconiers, jumpball lost",Delaware,3977492,01/07/2024,Klarke Sconiers,jumpball lost
4,1,"Ariana Wilkes, jumpball won",Hampton,3977492,01/07/2024,Ariana Wilkes,jumpball won
3,1,"Khari Clark, jumpball won",Stony Brook,3978500,01/14/2024,Khari Clark,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3978500,01/14/2024,Klarke Sconiers,jumpball lost
3,1,"Klarke Sconiers, jumpball won",Delaware,3979060,01/19/2024,Klarke Sconiers,jumpball won
4,1,"Anahi-Lee Cauley, jumpball lost",William & Mary,3979060,01/19/2024,Anahi-Lee Cauley,jumpball lost
545,5,"Ande'a Cherisier, jumpball won",Delaware,3979060,01/19/2024,Ande'a Cherisier,jumpball won
546,5,"Anahi-Lee Cauley, jumpball lost",William & Mary,3979060,01/19/2024,Anahi-Lee Cauley,jumpball lost
3,1,"Chaniya Clark, jumpball won",N.C. A&T,3979556,01/21/2024,Chaniya Clark,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3979556,01/21/2024,Klarke Sconiers,jumpball lost
3,1,"Jaelyn Batts, jumpball won",Northeastern,3980008,01/26/2024,Jaelyn Batts,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3980008,01/26/2024,Klarke Sconiers,jumpball lost
3,1,"Kylie Kornegay-Lucas, jumpball won",Towson,3980519,01/28/2024,Kylie Kornegay-Lucas,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3980519,01/28/2024,Ande'a Cherisier,jumpball lost
3,1,"Ande'a Cherisier, jumpball won",Delaware,3981074,02/02/2024,Ande'a Cherisier,jumpball won
4,1,"Hetta Saatman, jumpball lost",Drexel,3981074,02/02/2024,Hetta Saatman,jumpball lost
3,1,"Ande'a Cherisier, jumpball lost",Delaware,3981563,02/04/2024,Ande'a Cherisier,jumpball lost
4,1,"Zyheima Swint, jumpball won",Hofstra,3981563,02/04/2024,Zyheima Swint,jumpball won
3,1,"Ande'a Cherisier, jumpball won",Delaware,3982038,02/09/2024,Ande'a Cherisier,jumpball won
4,1,"Anahi-Lee Cauley, jumpball lost",William & Mary,3982038,02/09/2024,Anahi-Lee Cauley,jumpball lost
3,1,"Ande'a Cherisier, jumpball lost",Delaware,3982556,02/11/2024,Ande'a Cherisier,jumpball lost
4,1,"Belle Kranbuhl, jumpball won",Monmouth,3982556,02/11/2024,Belle Kranbuhl,jumpball won
3,1,"Hetta Saatman, jumpball won",Drexel,3983478,02/18/2024,Hetta Saatman,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3983478,02/18/2024,Ande'a Cherisier,jumpball lost
3,1,"Mingaile Urmuleviciute, jumpball won",UNCW,3983775,02/23/2024,Mingaile Urmuleviciute,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3983775,02/23/2024,Ande'a Cherisier,jumpball lost
3,1,"Kayla Morris, jumpball won",Towson,3984053,02/25/2024,Kayla Morris,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3984053,02/25/2024,Ande'a Cherisier,jumpball lost
3,1,"Iycez Adams, jumpball won",Elon,3984582,03/03/2024,Iycez Adams,jumpball won
4,1,"Klarke Sconiers, jumpball lost",Delaware,3984582,03/03/2024,Klarke Sconiers,jumpball lost
3,1,"Mingaile Urmuleviciute, jumpball won",UNCW,3984675,03/07/2024,Mingaile Urmuleviciute,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3984675,03/07/2024,Ande'a Cherisier,jumpball lost
3,1,"Zoe McCrary, jumpball won",Col. of Charleston,3984686,03/09/2024,Zoe McCrary,jumpball won
4,1,"Ande'a Cherisier, jumpball lost",Delaware,3984686,03/09/2024,Ande'a Cherisier,jumpball lost
3,1,"Ande'a Cherisier, jumpball won",Delaware,5250666,03/14/2024,Ande'a Cherisier,jumpball won
4,1,"Hetta Saatman, jumpball lost",Drexel,5250666,03/14/2024,Hetta Saatman,jumpball lost
3,1,"Jayda McNabb, jumpball won",Air Force,3970194,11/06/2023,Jayda McNabb,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3970194,11/06/2023,Makayla Minett,jumpball lost
3,1,"Allyson Fertig, jumpball won",Wyoming,3971357,11/14/2023,Allyson Fertig,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3971357,11/14/2023,Makayla Minett,jumpball lost
3,1,"Cheyenne Banks, jumpball won",Central Ark.,3972726,11/24/2023,Cheyenne Banks,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3972726,11/24/2023,Makayla Minett,jumpball lost
3,1,"Zena Elias, jumpball won",South Alabama,3972872,11/25/2023,Zena Elias,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3972872,11/25/2023,Makayla Minett,jumpball lost
3,1,"Makayla Minett, jumpball lost",Denver,3973580,11/30/2023,Makayla Minett,jumpball lost
4,1,"Amaya Oliver, jumpball won",LMU (CA),3973580,11/30/2023,Amaya Oliver,jumpball won
3,1,"Jaelyn Talley, jumpball won",Stetson,3974722,12/09/2023,Jaelyn Talley,jumpball won
4,1,"Jordan Jones, jumpball lost",Denver,3974722,12/09/2023,Jordan Jones,jumpball lost
3,1,"Tiffany Tullis, jumpball won",Texas St.,3975217,12/14/2023,Tiffany Tullis,jumpball won
4,1,"Lauren With, jumpball lost",Denver,3975217,12/14/2023,Lauren With,jumpball lost
3,1,"Agnes Paul, jumpball won",Colo. Christian,3975803,12/19/2023,Agnes Paul,jumpball won
4,1,"Jordan Jones, jumpball lost",Denver,3975803,12/19/2023,Jordan Jones,jumpball lost
3,1,"Ali Bamberger, jumpball lost",Saint Mary's (CA),3975940,12/21/2023,Ali Bamberger,jumpball lost
4,1,"Lauren With, jumpball won",Denver,3975940,12/21/2023,Lauren With,jumpball won
3,1,"Lauren With, jumpball won",Denver,3976175,12/29/2023,Lauren With,jumpball won
4,1,"Deanay Watson, jumpball lost",Omaha,3976175,12/29/2023,Deanay Watson,jumpball lost
3,1,"Emily Counsel, jumpball lost",Denver,3976530,12/31/2023,Emily Counsel,jumpball lost
4,1,"Ruthie Udoumoh, jumpball won",Oral Roberts,3976530,12/31/2023,Ruthie Udoumoh,jumpball won
3,1,"Hope Butera, jumpball won",Idaho,3976626,01/03/2024,Hope Butera,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3976626,01/03/2024,Makayla Minett,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3977346,01/06/2024,Makayla Minett,jumpball won
4,1,"Delaynie Byrne, jumpball lost",Northern Colo.,3977346,01/06/2024,Delaynie Byrne,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3978359,01/13/2024,Makayla Minett,jumpball won
4,1,"Brooklyn Meyer, jumpball lost",South Dakota St.,3978359,01/13/2024,Brooklyn Meyer,jumpball lost
3,1,"Elle Evans, jumpball won",North Dakota St.,3978943,01/18/2024,Elle Evans,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3978943,01/18/2024,Makayla Minett,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3979184,01/20/2024,Makayla Minett,jumpball won
4,1,"Kiera Pemberton, jumpball lost",North Dakota,3979184,01/20/2024,Kiera Pemberton,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3979993,01/25/2024,Makayla Minett,jumpball won
4,1,"Tori DePerry, jumpball lost",South Dakota,3979993,01/25/2024,Tori DePerry,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3980410,01/27/2024,Makayla Minett,jumpball won
4,1,"Deanay Watson, jumpball lost",Omaha,3980410,01/27/2024,Deanay Watson,jumpball lost
3,1,"Makayla Minett, jumpball lost",Denver,3981222,02/03/2024,Makayla Minett,jumpball lost
4,1,"Ruthie Udoumoh, jumpball won",Oral Roberts,3981222,02/03/2024,Ruthie Udoumoh,jumpball won
3,1,"Makayla Minett, jumpball won",Denver,3981975,02/08/2024,Makayla Minett,jumpball won
4,1,"Tori DePerry, jumpball lost",South Dakota,3981975,02/08/2024,Tori DePerry,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3982174,02/10/2024,Makayla Minett,jumpball won
4,1,"Jo Langbehn, jumpball lost",St. Thomas (MN),3982174,02/10/2024,Jo Langbehn,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3982972,02/15/2024,Makayla Minett,jumpball won
4,1,"Kiera Pemberton, jumpball lost",North Dakota,3982972,02/15/2024,Kiera Pemberton,jumpball lost
3,1,"Elle Evans, jumpball won",North Dakota St.,3983188,02/17/2024,Elle Evans,jumpball won
4,1,"Makayla Minett, jumpball lost",Denver,3983188,02/17/2024,Makayla Minett,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3983725,02/22/2024,Makayla Minett,jumpball won
4,1,"Brooklyn Meyer, jumpball lost",South Dakota St.,3983725,02/22/2024,Brooklyn Meyer,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3984434,03/02/2024,Makayla Minett,jumpball won
4,1,"Jo Langbehn, jumpball lost",St. Thomas (MN),3984434,03/02/2024,Jo Langbehn,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,5250245,03/09/2024,Makayla Minett,jumpball won
4,1,"Elle Evans, jumpball lost",North Dakota St.,5250245,03/09/2024,Elle Evans,jumpball lost
3,1,"Tayra Eke, jumpball won",Eastern Mich.,3970184,11/06/2023,Tayra Eke,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3970184,11/06/2023,Emma Trawally Porta,jumpball lost
3,1,"Isaline Alexander, jumpball won",Michigan St.,4470221,11/16/2023,Isaline Alexander,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,4470221,11/16/2023,Emma Trawally Porta,jumpball lost
3,1,"Liv Fuller, jumpball won",Ga. Southern,3972998,11/25/2023,Liv Fuller,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3972998,11/25/2023,Emma Trawally Porta,jumpball lost
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3973590,11/30/2023,Emma Trawally Porta,jumpball won
4,1,"Emily Saunders, jumpball lost",Youngstown St.,3973590,11/30/2023,Emily Saunders,jumpball lost
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3974110,12/03/2023,Emma Trawally Porta,jumpball lost
4,1,"Kianni Westbrook, jumpball won",Oakland,3974110,12/03/2023,Kianni Westbrook,jumpball won
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3974301,12/06/2023,Emma Trawally Porta,jumpball won
4,1,"De'Ahna Richardson, jumpball lost",Western Mich.,3974301,12/06/2023,De'Ahna Richardson,jumpball lost
3,1,"Brooke Stonebraker, jumpball won",NIU,3974926,12/10/2023,Brooke Stonebraker,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3974926,12/10/2023,Emma Trawally Porta,jumpball lost
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3975673,12/18/2023,Emma Trawally Porta,jumpball lost
4,1,"Paetynn Gray, jumpball won",Bellarmine,3975673,12/18/2023,Paetynn Gray,jumpball won
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3975994,12/21/2023,Emma Trawally Porta,jumpball won
4,1,"Jaliya Sharp, jumpball lost",Florida A&M,3975994,12/21/2023,Jaliya Sharp,jumpball lost
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3976556,01/01/2024,Emma Trawally Porta,jumpball lost
4,1,"Carter McCray, jumpball won",Northern Ky.,3976556,01/01/2024,Carter McCray,jumpball won
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3976976,01/04/2024,Emma Trawally Porta,jumpball lost
4,1,"Jazmyn Turner, jumpball won",IU Indy,3976976,01/04/2024,Jazmyn Turner,jumpball won
533,5,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3976976,01/04/2024,Emma Trawally Porta,jumpball lost
534,5,"Jazmyn Turner, jumpball won",IU Indy,3976976,01/04/2024,Jazmyn Turner,jumpball won
3,1,"Jazzlyn Linbo, jumpball lost",Purdue Fort Wayne,3977506,01/07/2024,Jazzlyn Linbo,jumpball lost
4,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3977506,01/07/2024,Emma Trawally Porta,jumpball won
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3978095,01/13/2024,Emma Trawally Porta,jumpball lost
4,1,"Miriam Ibezim, jumpball won",Oakland,3978095,01/13/2024,Miriam Ibezim,jumpball won
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3978990,01/18/2024,Emma Trawally Porta,jumpball lost
4,1,"Jasmine Kondrakiewicz, jumpball won",Green Bay,3978990,01/18/2024,Jasmine Kondrakiewicz,jumpball won
3,1,"Kendall Nead, jumpball won",Milwaukee,3979234,01/20/2024,Kendall Nead,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3979234,01/20/2024,Emma Trawally Porta,jumpball lost
3,1,"Danielle Vuletich, jumpball lost",Robert Morris,3979834,01/24/2024,Danielle Vuletich,jumpball lost
4,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3979834,01/24/2024,Emma Trawally Porta,jumpball won
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3980697,01/31/2024,Emma Trawally Porta,jumpball won
4,1,"Carter McCray, jumpball lost",Northern Ky.,3980697,01/31/2024,Carter McCray,jumpball lost
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3981090,02/02/2024,Emma Trawally Porta,jumpball won
4,1,"Rachel Loobie, jumpball lost",Wright St.,3981090,02/02/2024,Rachel Loobie,jumpball lost
3,1,"Danielle Vuletich, jumpball lost",Robert Morris,3982022,02/08/2024,Danielle Vuletich,jumpball lost
4,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3982022,02/08/2024,Emma Trawally Porta,jumpball won
3,1,"Emily Saunders, jumpball won",Youngstown St.,3982274,02/10/2024,Emily Saunders,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3982274,02/10/2024,Emma Trawally Porta,jumpball lost
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,3983498,02/18/2024,Emma Trawally Porta,jumpball won
4,1,"Jazzlyn Linbo, jumpball lost",Purdue Fort Wayne,3983498,02/18/2024,Jazzlyn Linbo,jumpball lost
3,1,"Kendall Nead, jumpball won",Milwaukee,3983743,02/22/2024,Kendall Nead,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3983743,02/22/2024,Emma Trawally Porta,jumpball lost
3,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3983839,02/24/2024,Emma Trawally Porta,jumpball lost
4,1,"Jasmine Kondrakiewicz, jumpball won",Green Bay,3983839,02/24/2024,Jasmine Kondrakiewicz,jumpball won
3,1,"Jazmyn Turner, jumpball won",IU Indy,3984325,02/29/2024,Jazmyn Turner,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3984325,02/29/2024,Emma Trawally Porta,jumpball lost
3,1,"Rachel Loobie, jumpball won",Wright St.,3984455,03/02/2024,Rachel Loobie,jumpball won
4,1,"Emma Trawally Porta, jumpball lost",Detroit Mercy,3984455,03/02/2024,Emma Trawally Porta,jumpball lost
3,1,"Emma Trawally Porta, jumpball won",Detroit Mercy,5246867,03/05/2024,Emma Trawally Porta,jumpball won
