,Quarter,text,team,gameID,Date,Player,WL
4,1,"Evelien Lutje Schipholt, jumpball won",South Fla.,3972256,11/19/2023,Evelien Lutje Schipholt,jumpball won
3,1,"Eden Johnson, jumpball won",Ga. Southern,3972770,11/24/2023,Eden Johnson,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3972770,11/24/2023,Emma Broermann,jumpball lost
3,1,"Rebekah Gordon, jumpball won",USC Upstate,3972835,11/25/2023,Rebekah Gordon,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3972835,11/25/2023,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball won",North Florida,3973433,11/29/2023,Emma Broermann,jumpball won
4,1,"Jasmine Edwards, jumpball lost",Warner,3973433,11/29/2023,Jasmine Edwards,jumpball lost
3,1,"Laura Ziegler, jumpball won",Saint Joseph's,3973744,12/02/2023,Laura Ziegler,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3973744,12/02/2023,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3974154,12/04/2023,Emma Broermann,jumpball lost
4,1,"Laila Lawrence, jumpball won",Coppin St.,3974154,12/04/2023,Laila Lawrence,jumpball won
3,1,"Emma Broermann, jumpball won",North Florida,3975158,12/13/2023,Emma Broermann,jumpball won
4,1,"Alexandria Willis, jumpball lost",Piedmont,3975158,12/13/2023,Alexandria Willis,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3975466,12/16/2023,Emma Broermann,jumpball lost
4,1,"Ayoka Lee, jumpball won",Kansas St.,3975466,12/16/2023,Ayoka Lee,jumpball won
3,1,"Emma Broermann, jumpball lost",North Florida,3975851,12/20/2023,Emma Broermann,jumpball lost
4,1,"Marissa Gasaway, jumpball won",Winthrop,3975851,12/20/2023,Marissa Gasaway,jumpball won
3,1,"Olivia Delancy, jumpball lost",Florida A&M,3976186,12/29/2023,Olivia Delancy,jumpball lost
4,1,"Emma Broermann, jumpball won",North Florida,3976186,12/29/2023,Emma Broermann,jumpball won
464,5,"Emma Broermann, jumpball lost",North Florida,3976186,12/29/2023,Emma Broermann,jumpball lost
465,5,"Anabel Latorre Ciria, jumpball won",Florida A&M,3976186,12/29/2023,Anabel Latorre Ciria,jumpball won
3,1,"Emma Broermann, jumpball won",North Florida,3976960,01/04/2024,Emma Broermann,jumpball won
4,1,"Jaelyn Talley, jumpball lost",Stetson,3976960,01/04/2024,Jaelyn Talley,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3977271,01/06/2024,Emma Broermann,jumpball lost
4,1,"Ajulu Thatha, jumpball won",FGCU,3977271,01/06/2024,Ajulu Thatha,jumpball won
3,1,"Emma Broermann, jumpball won",North Florida,3977849,01/11/2024,Emma Broermann,jumpball won
4,1,"Prencis Harden, jumpball lost",Kennesaw St.,3977849,01/11/2024,Prencis Harden,jumpball lost
3,1,"Kemia Ward, jumpball lost",Queens (NC),3978324,01/13/2024,Kemia Ward,jumpball lost
4,1,"Emma Broermann, jumpball won",North Florida,3978324,01/13/2024,Emma Broermann,jumpball won
3,1,"Emma Broermann, jumpball won",North Florida,3979974,01/25/2024,Emma Broermann,jumpball won
4,1,"Lucy Robertson, jumpball lost",Bellarmine,3979974,01/25/2024,Lucy Robertson,jumpball lost
3,1,"Jasmine McGinnis-Taylor, jumpball won",Eastern Ky.,3980277,01/27/2024,Jasmine McGinnis-Taylor,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3980277,01/27/2024,Emma Broermann,jumpball lost
3,1,"Allie Craig Cruce, jumpball won",North Ala.,3980947,02/01/2024,Allie Craig Cruce,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3980947,02/01/2024,Emma Broermann,jumpball lost
3,1,"Cheyenne Banks, jumpball won",Central Ark.,3981290,02/03/2024,Cheyenne Banks,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3981290,02/03/2024,Emma Broermann,jumpball lost
3,1,"Shamarre Hale, jumpball won",Austin Peay,3981811,02/07/2024,Shamarre Hale,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3981811,02/07/2024,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3982304,02/10/2024,Emma Broermann,jumpball lost
4,1,"Aleah Sorrentino, jumpball won",Lipscomb,3982304,02/10/2024,Aleah Sorrentino,jumpball won
533,5,"Team, jumpball won",Lipscomb,3982304,02/10/2024,Team,jumpball won
534,5,"Team, jumpball lost",North Florida,3982304,02/10/2024,Team,jumpball lost
573,6,"Team, jumpball won",Lipscomb,3982304,02/10/2024,Team,jumpball won
574,6,"Team, jumpball lost",North Florida,3982304,02/10/2024,Team,jumpball lost
3,1,"Emma Broermann, jumpball won",North Florida,3979279,02/15/2024,Emma Broermann,jumpball won
4,1,"Jada Jones, jumpball lost",Jacksonville,3979279,02/15/2024,Jada Jones,jumpball lost
3,1,"Emma Broermann, jumpball won",North Florida,3983091,02/17/2024,Emma Broermann,jumpball won
4,1,"Jada Jones, jumpball lost",Jacksonville,3983091,02/17/2024,Jada Jones,jumpball lost
3,1,"Kemia Ward, jumpball lost",Queens (NC),3983746,02/22/2024,Kemia Ward,jumpball lost
4,1,"Emma Broermann, jumpball won",North Florida,3983746,02/22/2024,Emma Broermann,jumpball won
3,1,"Prencis Harden, jumpball won",Kennesaw St.,3983927,02/24/2024,Prencis Harden,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3983927,02/24/2024,Emma Broermann,jumpball lost
459,5,"Prencis Harden, jumpball won",Kennesaw St.,3983927,02/24/2024,Prencis Harden,jumpball won
460,5,"Emma Broermann, jumpball lost",North Florida,3983927,02/24/2024,Emma Broermann,jumpball lost
529,6,"Prencis Harden, jumpball lost",Kennesaw St.,3983927,02/24/2024,Prencis Harden,jumpball lost
530,6,"Emma Broermann, jumpball won",North Florida,3983927,02/24/2024,Emma Broermann,jumpball won
3,1,"Ajulu Thatha, jumpball won",FGCU,3984328,02/29/2024,Ajulu Thatha,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3984328,02/29/2024,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball won",North Florida,3984389,03/02/2024,Emma Broermann,jumpball won
4,1,"Jamiya Turner, jumpball lost",Stetson,3984389,03/02/2024,Jamiya Turner,jumpball lost
3,1,"Chloe Storer, jumpball lost",UIW,3970333,11/07/2023,Chloe Storer,jumpball lost
4,1,"Tiffany Lopez, jumpball won",Our Lady of the Lake,3970333,11/07/2023,Tiffany Lopez,jumpball won
3,1,"Chloe Storer, jumpball lost",UIW,3971166,11/12/2023,Chloe Storer,jumpball lost
4,1,"Ene Adams, jumpball won",New Mexico St.,3971166,11/12/2023,Ene Adams,jumpball won
3,1,"Sedona Prince, jumpball won",TCU,3971454,11/15/2023,Sedona Prince,jumpball won
4,1,"Brenna Perez, jumpball lost",UIW,3971454,11/15/2023,Brenna Perez,jumpball lost
3,1,"Charlotte O'Keefe, jumpball won",UTRGV,3972242,11/19/2023,Charlotte O'Keefe,jumpball won
4,1,"Chloe Storer, jumpball lost",UIW,3972242,11/19/2023,Chloe Storer,jumpball lost
3,1,"Amauri Williams, jumpball won",Prairie View,3973163,11/27/2023,Amauri Williams,jumpball won
4,1,"Chloe Storer, jumpball lost",UIW,3973163,11/27/2023,Chloe Storer,jumpball lost
3,1,"Debrohjhae Beuregard, jumpball won",Dallas Christian,3973946,12/02/2023,Debrohjhae Beuregard,jumpball won
4,1,"Chloe Storer, jumpball lost",UIW,3973946,12/02/2023,Chloe Storer,jumpball lost
3,1,"Faith Acker, jumpball won",Tarleton St.,3974983,12/10/2023,Faith Acker,jumpball won
4,1,"Brenna Perez, jumpball lost",UIW,3974983,12/10/2023,Brenna Perez,jumpball lost
3,1,"Kilah Freelon, jumpball won",Texas Tech,3975117,12/13/2023,Kilah Freelon,jumpball won
4,1,"Brenna Perez, jumpball lost",UIW,3975117,12/13/2023,Brenna Perez,jumpball lost
3,1,"Chloe Storer, jumpball lost",UIW,3975430,12/16/2023,Chloe Storer,jumpball lost
4,1,"Jayda Ruffus-Milner, jumpball won",St. Edward's,3975430,12/16/2023,Jayda Ruffus-Milner,jumpball won
3,1,"Chloe Storer, jumpball lost",UIW,3975869,12/20/2023,Chloe Storer,jumpball lost
4,1,"Emerald St. Laurent, jumpball won",Texas Lutheran,3975869,12/20/2023,Emerald St. Laurent,jumpball won
3,1,"Maryam Dauda, jumpball won",Arkansas,3976507,12/31/2023,Maryam Dauda,jumpball won
4,1,"Chloe Storer, jumpball lost",UIW,3976507,12/31/2023,Chloe Storer,jumpball lost
3,1,"Akasha Davis, jumpball won",Lamar University,3976931,01/04/2024,Akasha Davis,jumpball won
4,1,"Chloe Storer, jumpball lost",UIW,3976931,01/04/2024,Chloe Storer,jumpball lost
