,poss,1,-1,2,-2,3,-3,4,-4,5,-5,6,-6,7,-7,8,-8,9,-9,10,-10,11,-11,12,-12,13,-13,14,-14,15,-15,16,-16,17,-17,18,-18,19,-19
Chanaya Pinto,37.0,,,3.0,,3.0,9.0,5.0,6.0,11.0,6.0,8.0,2.0,12.0,5.0,3.0,6.0,13.0,6.0,16.0,16.0,,,10.0,4.0,8.0,13.0,,,25.0,13.0,25.0,13.0,2.0,1.0,8.0,7.0,1.0,4.0
Kylie Lavelle,37.0,,,2.0,1.0,4.0,7.0,6.0,5.0,10.0,6.0,7.0,6.0,12.0,7.0,3.0,3.0,12.0,8.0,13.0,13.0,,,8.0,4.0,8.0,11.0,,1.0,25.0,10.0,25.0,10.0,1.0,1.0,7.0,6.0,1.0,3.0
Alli Campbell,2.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,
Jayla Oden,34.5,,,2.0,,2.0,9.0,6.0,5.0,10.0,5.0,6.0,2.0,12.0,5.0,6.0,4.0,12.0,5.0,16.0,16.0,,,10.0,4.0,11.0,12.0,,2.0,27.0,13.0,27.0,13.0,,2.0,5.0,8.0,2.0,2.0
Ashley Sofilkanich,25.5,,,,3.0,6.0,2.0,2.0,5.0,4.0,8.0,3.0,4.0,5.0,9.0,2.0,3.0,5.0,9.0,14.0,14.0,,,2.0,4.0,9.0,4.0,1.0,,7.0,20.0,7.0,20.0,,1.0,5.0,8.0,3.0,1.0
Julie Kulesza,27.0,,,,1.0,5.0,3.0,4.0,3.0,1.0,8.0,3.0,4.0,3.0,7.0,,3.0,6.0,11.0,10.0,10.0,,,4.0,7.0,10.0,8.0,1.0,,9.0,23.0,9.0,23.0,,,6.0,3.0,2.0,2.0
Moriah Murray,39.0,,,5.0,1.0,4.0,14.0,7.0,5.0,10.0,6.0,7.0,5.0,13.0,6.0,4.0,7.0,15.0,7.0,14.0,14.0,,1.0,6.0,5.0,10.0,11.0,,1.0,25.0,15.0,25.0,15.0,2.0,1.0,7.0,8.0,1.0,3.0
Grace Hall,24.5,,,3.0,,2.0,8.0,5.0,5.0,4.0,2.0,6.0,4.0,7.0,6.0,3.0,4.0,11.0,7.0,9.0,9.0,,,4.0,2.0,6.0,6.0,,,24.0,7.0,24.0,7.0,,1.0,4.0,5.0,3.0,2.0
Kaylee Reinbeau,27.0,,,,,4.0,3.0,7.0,4.0,2.0,7.0,1.0,5.0,3.0,7.0,1.0,2.0,7.0,13.0,10.0,10.0,,,4.0,7.0,9.0,7.0,,,13.0,21.0,13.0,21.0,1.0,1.0,4.0,4.0,3.0,2.0
Nicole Davis,8.0,,,,,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,3.0,3.0,,,2.0,4.0,4.0,2.0,,,4.0,1.0,4.0,1.0,1.0,1.0,,3.0,1.0,
Rosie Scognamiglio,25.5,,,1.0,1.0,4.0,3.0,6.0,7.0,4.0,6.0,2.0,4.0,4.0,8.0,3.0,3.0,9.0,10.0,10.0,10.0,1.0,,4.0,4.0,8.0,5.0,,,8.0,20.0,8.0,20.0,1.0,1.0,2.0,7.0,3.0,2.0
Sophia Sabino,4.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,2.0,,2.0,,1.0,,,2.0,1.0,
Sara Guerreiro,16.0,1.0,1.0,,,5.0,2.0,,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,6.0,4.0,14.0,13.0,,,,1.0,4.0,2.0,1.0,1.0,5.0,6.0,5.0,6.0,,1.0,1.0,4.0,1.0,1.0
Destiny Leo,63.0,1.0,1.0,2.0,2.0,17.0,15.0,13.0,8.0,20.0,18.0,5.0,12.0,5.0,19.0,11.0,11.0,19.0,22.0,42.0,41.0,,,6.0,5.0,9.0,11.0,4.0,3.0,24.0,20.0,24.0,20.0,2.0,4.0,16.0,11.0,3.0,8.0
Colbi Maples,56.0,1.0,1.0,2.0,2.0,17.0,12.0,8.0,7.0,17.0,16.0,5.0,12.0,7.0,19.0,9.0,8.0,15.0,19.0,33.0,32.0,,,6.0,4.0,8.0,12.0,4.0,4.0,18.0,19.0,18.0,19.0,2.0,2.0,13.0,6.0,3.0,3.0
Jordana Reisma,57.5,1.0,1.0,2.0,3.0,21.0,15.0,10.0,8.0,18.0,16.0,5.0,11.0,6.0,17.0,12.0,10.0,18.0,22.0,36.0,35.0,,,6.0,3.0,7.0,9.0,4.0,3.0,22.0,21.0,22.0,21.0,2.0,2.0,14.0,9.0,3.0,5.0
Carmen Villalobos,51.5,1.0,1.0,2.0,3.0,17.0,10.0,11.0,7.0,17.0,15.0,4.0,9.0,4.0,16.0,12.0,6.0,16.0,19.0,33.0,33.0,,,7.0,4.0,7.0,11.0,3.0,3.0,20.0,18.0,20.0,18.0,2.0,2.0,12.0,5.0,3.0,6.0
Jasmine Clerkley,10.0,1.0,1.0,,,3.0,2.0,3.0,,2.0,6.0,1.0,1.0,2.0,,2.0,1.0,1.0,5.0,9.0,9.0,,,,,,2.0,,,3.0,4.0,3.0,4.0,1.0,,5.0,,2.0,
Lexi Fleming,73.5,1.0,1.0,3.0,2.0,17.0,21.0,9.0,13.0,21.0,24.0,12.0,7.0,21.0,8.0,11.0,13.0,24.0,23.0,45.0,46.0,,,7.0,7.0,15.0,11.0,4.0,4.0,23.0,30.0,23.0,30.0,4.0,2.0,11.0,17.0,8.0,3.0
Olivia Hill,46.0,1.0,1.0,3.0,2.0,12.0,14.0,6.0,12.0,10.0,13.0,10.0,4.0,14.0,4.0,8.0,11.0,17.0,13.0,26.0,27.0,,,4.0,7.0,10.0,7.0,3.0,3.0,18.0,17.0,18.0,17.0,2.0,2.0,8.0,11.0,3.0,2.0
Paige Kohler,58.5,1.0,1.0,,,11.0,11.0,8.0,8.0,18.0,22.0,8.0,7.0,16.0,7.0,8.0,6.0,15.0,19.0,37.0,38.0,,,5.0,4.0,12.0,9.0,4.0,4.0,16.0,22.0,16.0,22.0,3.0,1.0,9.0,12.0,8.0,2.0
Amy Velasco,71.5,1.0,1.0,3.0,2.0,16.0,21.0,8.0,13.0,21.0,22.0,12.0,7.0,21.0,8.0,10.0,13.0,24.0,21.0,41.0,42.0,,,7.0,7.0,15.0,11.0,4.0,4.0,22.0,30.0,22.0,30.0,4.0,2.0,10.0,17.0,7.0,3.0
Mickayla Perdue,28.0,,,,2.0,8.0,7.0,5.0,3.0,11.0,8.0,4.0,,4.0,4.0,6.0,3.0,12.0,7.0,17.0,17.0,,,2.0,5.0,5.0,7.0,,1.0,18.0,7.0,18.0,7.0,,2.0,5.0,5.0,,5.0
Grace Ellis,39.5,,,,1.0,5.0,10.0,11.0,6.0,12.0,9.0,5.0,6.0,5.0,12.0,6.0,8.0,13.0,12.0,24.0,23.0,,,4.0,3.0,4.0,9.0,3.0,3.0,14.0,11.0,14.0,11.0,2.0,4.0,13.0,8.0,2.0,5.0
Brooklyn Fort-Davis,16.0,,,,,,2.0,3.0,1.0,6.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,5.0,2.0,10.0,10.0,,,1.0,4.0,4.0,6.0,,1.0,8.0,2.0,8.0,2.0,,2.0,3.0,2.0,,3.0
Erika Porter,42.5,,,,2.0,9.0,8.0,3.0,5.0,14.0,13.0,8.0,5.0,14.0,5.0,6.0,4.0,11.0,12.0,28.0,29.0,,,5.0,3.0,11.0,7.0,4.0,4.0,13.0,18.0,13.0,18.0,2.0,1.0,4.0,11.0,6.0,2.0
Faith Burch,31.5,,,2.0,,8.0,10.0,3.0,2.0,13.0,8.0,2.0,6.0,4.0,9.0,1.0,5.0,10.0,10.0,16.0,16.0,,,2.0,5.0,6.0,7.0,1.0,1.0,13.0,8.0,13.0,8.0,,1.0,3.0,5.0,,4.0
Sophie Dziekan,39.0,,,2.0,,6.0,15.0,4.0,5.0,16.0,12.0,3.0,4.0,9.0,6.0,3.0,7.0,14.0,11.0,18.0,18.0,,,5.0,4.0,9.0,6.0,1.0,1.0,6.0,17.0,6.0,17.0,2.0,,2.0,8.0,3.0,1.0
Taya Ellis,9.5,,,1.0,,4.0,3.0,2.0,4.0,,4.0,2.0,,3.0,1.0,3.0,3.0,5.0,5.0,9.0,9.0,,,,,,,,,6.0,4.0,6.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0
Keiryn McGuff,2.0,,,,,1.0,,1.0,,,2.0,,,,,1.0,,,2.0,4.0,4.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,
Abbie Riddle,10.5,,,2.0,2.0,4.0,8.0,,2.0,3.0,2.0,2.0,,2.0,1.0,1.0,4.0,6.0,3.0,4.0,4.0,,,2.0,3.0,3.0,2.0,,,5.0,6.0,5.0,6.0,,,1.0,1.0,,
Kali Howard,8.5,,,,2.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,5.0,5.0,,,1.0,1.0,1.0,1.0,,,8.0,3.0,8.0,3.0,,,5.0,,,
Emily Siesel,4.5,,,1.0,,2.0,2.0,1.0,3.0,,,2.0,,3.0,,2.0,3.0,3.0,1.0,4.0,4.0,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,1.0
Sajada Bonner,32.5,1.0,1.0,,4.0,16.0,3.0,5.0,5.0,2.0,21.0,,1.0,,12.0,8.0,4.0,8.0,13.0,15.0,15.0,,,3.0,6.0,11.0,3.0,1.0,,10.0,19.0,10.0,19.0,1.0,,8.0,6.0,,4.0
Sierra Johnson,37.0,1.0,1.0,,3.0,12.0,13.0,11.0,6.0,7.0,14.0,1.0,4.0,3.0,11.0,8.0,7.0,14.0,15.0,21.0,21.0,1.0,,,6.0,11.0,3.0,1.0,,24.0,22.0,24.0,22.0,,2.0,6.0,4.0,,2.0
Ny'Ceara Pryor,49.0,1.0,1.0,,7.0,19.0,12.0,10.0,8.0,6.0,23.0,1.0,3.0,2.0,16.0,11.0,7.0,18.0,18.0,21.0,21.0,1.0,,3.0,11.0,18.0,5.0,2.0,,19.0,28.0,19.0,28.0,1.0,,10.0,5.0,,5.0
Olivia Tucker,52.5,1.0,1.0,,4.0,20.0,15.0,12.0,8.0,6.0,24.0,1.0,3.0,2.0,17.0,11.0,7.0,20.0,21.0,24.0,24.0,1.0,,2.0,10.0,18.0,5.0,2.0,,24.0,32.0,24.0,32.0,1.0,,12.0,5.0,,4.0
Kelsey Wood,23.5,1.0,1.0,,1.0,9.0,7.0,8.0,5.0,3.0,12.0,,2.0,,10.0,6.0,7.0,7.0,11.0,14.0,14.0,,,,4.0,7.0,2.0,1.0,,18.0,15.0,18.0,15.0,,,6.0,1.0,,1.0
