#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
2.0,Vanessa de Jesus,G,15:55,,1,1,0,0,2,2,4,0,0,0,2,2,0,0,0,0,0,591735,591874,5723719
0.0,Laila Acox,F,6:33,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,591874,591735,5723719
15.0,Kirby Brown,F,7:34,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,591874,591735,5723719
8.0,Cate Carlson,F,24:46,,2,6,2,6,4,6,10,0,6,6,0,5,0,0,2,0,0,591874,591735,5723719
5.0,Kirah Dandridge,G,18:31,,2,2,1,1,0,0,5,2,1,3,0,4,1,0,1,0,0,591874,591735,5723719
23.0,Makayla Firebaugh,G,23:53,,1,7,0,3,0,0,2,0,2,2,3,1,1,1,3,0,0,591874,591735,5723719
2.0,Reniya Jones,G,15:51,,0,4,0,2,1,2,1,0,1,1,0,2,0,0,0,0,0,591874,591735,5723719
10.0,Taylor Napper,F,22:07,,2,6,0,0,1,1,5,1,0,1,0,2,0,0,3,0,0,591874,591735,5723719
32.0,Angelina Nice,G,1:32,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,591874,591735,5723719
11.0,Ava Sawi,G,3:33,,0,1,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,591874,591735,5723719
3.0,Adriana Shipp-Davis,G,23:06,,0,3,0,1,2,4,2,0,3,3,1,6,0,0,1,0,0,591874,591735,5723719
24.0,Anna Stromberg,F,16:46,,1,1,0,0,0,0,2,0,2,2,0,1,0,0,3,0,0,591874,591735,5723719
21.0,Adelyn Traylor-Walker,G,15:04,,2,3,0,0,3,3,7,0,2,2,1,4,0,1,3,0,0,591874,591735,5723719
4.0,Joi Williams,G,20:44,,0,7,0,4,0,0,0,0,1,1,0,4,1,0,3,0,0,591874,591735,5723719
24.0,Amaya Bonner,G,17:26,,1,4,0,1,0,0,2,2,2,4,4,0,2,1,1,0,0,591748,591653,5722490
11.0,Sydney Bowles,G,18:57,,7,11,4,7,0,0,18,0,1,1,1,0,1,0,1,0,0,591748,591653,5722490
8.0,Morelia Chavez,F,8:15,,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,591748,591653,5722490
4.0,Raiane Dos Santos,G,19:13,,1,5,1,3,5,6,8,0,3,3,4,3,0,1,4,0,0,591748,591653,5722490
3.0,O'Mariah Gordon,G,21:37,,6,11,3,5,0,1,15,0,1,1,4,0,4,0,1,0,0,591748,591653,5722490
0.0,Ta'Niya Latson,G,20:14,,9,18,3,5,6,8,27,0,1,1,1,1,3,0,2,0,0,591748,591653,5722490
21.0,Makayla Timpson,F,22:42,,6,10,0,1,5,5,17,12,10,22,4,1,4,3,0,0,0,591748,591653,5722490
32.0,Avery Treadwell,F,15:35,,5,5,0,0,4,5,14,5,3,8,0,1,0,0,0,0,0,591748,591653,5722490
1.0,Brianna Turnage,G,16:54,,3,4,2,3,0,3,8,1,2,3,2,2,0,1,1,0,0,591748,591653,5722490
13.0,Carla Viegas,G,24:03,,1,8,1,7,2,3,5,1,2,3,3,0,0,0,1,0,0,591748,591653,5722490
22.0,Malea Williams,F,15:04,,2,11,1,5,0,0,5,5,4,9,1,0,3,4,1,0,0,591748,591653,5722490
11.0,Nia Brown,F,11:10,,0,2,0,1,0,0,0,1,2,3,0,3,1,0,0,0,0,591653,591748,5722490
35.0,Nicole Carreno,F,13:38,,1,5,1,4,0,0,3,1,2,3,0,1,0,0,3,0,0,591653,591748,5722490
13.0,Selma Eklund,F,14:40,,1,2,0,0,0,0,2,1,2,3,0,2,0,0,2,0,0,591653,591748,5722490
24.0,Jasmynne Gibson,F,10:39,,1,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,591653,591748,5722490
3.0,Grace Hunter,G,23:45,,1,2,0,1,0,0,2,1,2,3,2,4,1,0,3,0,0,591653,591748,5722490
20.0,Syndey Pettis,F,13:30,,1,3,0,0,1,2,3,2,3,5,0,1,0,0,4,0,0,591653,591748,5722490
5.0,Helena Rafnsdottir,G,12:51,,3,6,0,2,3,5,9,0,2,2,1,1,1,0,5,1,0,591653,591748,5722490
23.0,Kaila Rougier,G,30:42,,4,13,0,2,0,0,8,0,1,1,2,3,0,0,4,0,0,591653,591748,5722490
2.0,Jazmine Spencer,G,27:02,,2,7,1,6,0,0,5,0,3,3,3,5,1,0,1,0,0,591653,591748,5722490
1.0,Jamisyn Stinson,G,20:17,,1,3,1,3,0,0,3,0,2,2,1,0,0,0,1,0,0,591653,591748,5722490
4.0,Sarah Taub,G,21:46,,5,12,1,2,1,4,12,0,2,2,1,3,1,0,1,0,0,591653,591748,5722490
24.0,Addy Brown,F,22:43,,6,9,2,3,6,7,20,1,8,9,5,2,1,3,2,0,0,591777,591715,5730696
55.0,Audi Crooks,C,18:20,,5,10,0,0,6,8,16,0,4,4,2,2,0,0,0,0,0,591777,591715,5730696
6.0,Lily Hansford,G,16:03,,0,4,0,4,0,0,0,0,2,2,1,0,1,1,0,0,0,591777,591715,5730696
12.0,Mackenzie Hare,G,16:21,,2,4,1,2,1,1,6,2,4,6,1,3,0,0,1,0,0,591777,591715,5730696
25.0,Sydney Harris,F,19:15,,3,6,1,2,2,2,9,1,1,2,2,1,2,0,2,0,0,591777,591715,5730696
2.0,Arianna Jackson,G,16:19,,1,3,1,3,0,0,3,1,5,6,1,2,2,0,3,0,0,591777,591715,5730696
23.0,Kelsey Joens,G,20:28,,2,3,1,2,2,4,7,2,2,4,2,0,0,0,0,0,0,591777,591715,5730696
11.0,Emily Ryan,G,19:44,,2,8,1,3,4,4,9,0,3,3,6,0,4,0,0,0,0,591777,591715,5730696
32.0,Aili Tanke,G,17:06,,4,5,3,4,1,2,12,1,2,3,1,0,0,0,1,0,0,591777,591715,5730696
3.0,Alisa Williams,F,19:09,,4,6,0,0,4,6,12,1,7,8,0,2,2,0,1,0,0,591777,591715,5730696
22.0,Reagan Wilson,G,14:32,,1,1,0,0,0,0,2,0,0,0,4,1,0,0,2,0,0,591777,591715,5730696
