,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
11,,Fla. Atlantic,,200:00,1,21,54,10,31,4,8,56,8,31,39,15,18,5,2,19,0,0,560751,561219,3982150
10,,Wichita St.,,200:00,1,24,63,4,18,15,21,67,12,28,40,13,9,7,2,13,0,0,561219,560751,3982150
13,,South Fla.,,200:00,1,26,59,6,15,21,25,79,12,34,46,19,17,8,4,19,0,0,561095,561219,3982671
11,,Wichita St.,,200:00,1,23,62,4,11,7,12,57,7,21,28,13,15,8,1,22,1,0,561219,561095,3982671
9,,Wichita St.,,200:00,1,24,59,6,18,20,34,74,14,29,43,16,14,8,3,13,0,0,561219,561173,3983078
10,,Tulsa,,200:00,1,25,63,11,35,4,8,65,10,27,37,13,22,8,4,25,2,0,561173,561219,3983078
12,,Charlotte,,200:00,1,25,53,11,27,13,15,74,14,29,43,21,20,3,5,12,0,0,560928,561219,3983810
11,,Wichita St.,,200:00,1,20,56,4,18,4,9,48,11,15,26,14,18,4,1,14,1,0,561219,560928,3983810
11,,Wichita St.,,225:00,1,26,72,8,26,24,28,84,17,31,48,21,11,4,6,21,1,0,561219,561107,3984123
9,,SMU,,225:00,1,34,71,3,15,17,26,88,12,31,43,19,7,8,4,19,1,0,561107,561219,3984123
11,,Wichita St.,,200:00,1,22,63,6,21,11,18,61,14,30,44,14,16,6,2,21,1,0,561219,561159,3984366
11,,UTSA,,200:00,1,25,62,6,24,12,19,68,11,30,41,21,14,3,3,17,0,0,561159,561219,3984366
10,,UAB,,200:00,1,23,60,9,29,10,16,65,13,22,35,14,19,8,0,12,0,0,560584,561219,3984619
11,,Wichita St.,,200:00,1,26,57,7,18,9,10,68,9,27,36,17,19,9,2,15,0,0,561219,560584,3984619
11,,Fla. Atlantic,,200:00,1,18,59,7,28,7,19,50,15,28,43,13,19,11,5,20,1,0,560751,561219,5250366
10,,Wichita St.,,200:00,1,23,64,4,19,14,20,64,17,31,48,16,18,8,5,21,1,0,561219,560751,5250366
12,,South Fla.,,200:00,1,26,57,7,19,10,18,69,10,29,39,19,9,5,7,17,1,0,561095,561219,5250362
10,,Wichita St.,,200:00,1,23,63,6,18,10,16,62,14,24,38,15,10,5,5,18,2,0,561219,561095,5250362
